pp_id,stim_id,length,int_tempo,stim_onsets,resp_ITIs
1,1,5,600,"[0.0, 522.7748691099476, 1179.0575916230366, 2015.9685863874345, 2635.6020942408377]","[488.8636363636365, 758.8636363636365, 787.5, 507.272727272727]"
1,2,4,400,"[0.0, 625.5244755244755, 960.8391608391609, 1481.4685314685316]","[411.1363636363635, 760.9090909090908, 288.409090909091]"
1,3,5,600,"[0.0, 651.0471204188482, 1179.0575916230366, 2021.2041884816754, 2389.528795811518]","[505.22727272727286, 734.3181818181815, 765.0, 480.68181818181847]"
1,4,5,400,"[0.0, 398.6910994764398, 925.6544502617801, 1484.0314136125653, 2079.0575916230364]","[392.72727272727275, 460.22727272727275, 468.40909090909076, 615.6818181818185]"
1,5,4,600,"[0.0, 433.91608391608395, 972.7272727272727, 1476.5734265734266]","[409.09090909090924, 499.090909090909, 529.7727272727275]"
1,6,5,400,"[0.0, 194.5026178010471, 370.6806282722513, 664.6596858638743, 887.958115183246]","[171.81818181818198, 184.090909090909, 272.0454545454545, 337.5]"
1,7,4,600,"[0.0, 591.2587412587413, 944.7552447552448, 1623.4265734265734]","[355.909090909091, 640.2272727272727, 621.8181818181818]"
1,8,5,400,"[0.0, 453.6649214659686, 909.9476439790576, 1120.1570680628272, 1432.4607329842931]","[296.59090909090924, 529.7727272727273, 192.27272727272702, 327.2727272727275]"
1,9,4,600,"[0.0, 724.1258741258741, 1287.4125874125875, 1941.6083916083917]","[791.590909090909, 550.2272727272727, 554.318181818182]"
1,10,5,400,"[0.0, 422.25130890052355, 640.3141361256544, 790.3141361256544, 1416.7539267015707]","[490.909090909091, 161.590909090909, 274.090909090909, 304.7727272727275]"
1,11,4,600,"[0.0, 367.4825174825175, 941.2587412587413, 1357.6923076923078]","[300.68181818181813, 548.1818181818182, 539.9999999999998]"
1,12,4,400,"[0.0, 219.93006993006992, 614.6853146853148, 887.0629370629372]","[229.09090909090912, 388.63636363636374, 212.72727272727252]"
1,13,4,600,"[0.0, 608.7412587412588, 1444.7552447552448, 2063.986013986014]","[670.909090909091, 934.7727272727273, 644.318181818182]"
1,14,5,400,"[0.0, 553.1413612565445, 928.2722513089005, 1332.1989528795812, 1741.3612565445026]","[656.5909090909091, 392.72727272727275, 366.1363636363635, 353.8636363636365]"
1,15,5,600,"[0.0, 760.9947643979058, 1273.2984293193717, 2050.0, 2771.7277486910994]","[742.5, 464.318181818182, 746.590909090909, 758.8636363636365]"
1,16,4,400,"[0.0, 513.6363636363636, 758.041958041958, 1128.3216783216783]","[687.2727272727273, 357.9545454545455, 310.909090909091, 380.4545454545455]"
1,17,5,600,"[0.0, 716.4921465968587, 1537.696335078534, 2196.5968586387435, 2627.7486910994767]","[717.9545454545455, 427.5, 355.909090909091, 355.909090909091]"
1,18,4,400,"[0.0, 583.5664335664336, 1083.2167832167834, 1383.5664335664337]","[765.0000000000001, 409.090909090909, 353.86363636363626, 325.227272727273]"
1,19,4,600,"[0.0, 629.7202797202797, 1144.055944055944, 1693.3566433566434]","[781.3636363636365, 490.90909090909076, 417.2727272727275]"
1,20,4,400,"[0.0, 275.87412587412587, 740.5594405594406, 1285.6643356643358]","[288.4090909090909, 523.6363636363636, 499.090909090909]"
1,21,4,600,"[0.0, 640.2097902097903, 1430.769230769231, 2259.7902097902097]","[654.5454545454546, 392.72727272727275, 1004.3181818181818]"
