pp_id,stim_id,length,int_tempo,stim_onsets,resp_ITIs
5,1,4,400,"[0.0, 471.6783216783217, 621.6783216783217, 998.951048951049]","[394.77272727272725, 177.9545454545455, 184.090909090909]"
5,2,5,600,"[0.0, 423.29842931937173, 1181.6753926701572, 1790.8376963350786, 2426.1780104712043]","[468.4090909090909, 462.27272727272725, 417.27272727272725, 157.5]"
5,3,5,400,"[0.0, 636.9109947643979, 786.9109947643979, 1264.13612565445, 1558.1151832460732]","[421.36363636363626, 151.3636363636365, 290.4545454545455, 312.95454545454527]"
5,4,4,600,"[0.0, 573.7762237762238, 1224.4755244755245, 1647.902097902098]","[515.4545454545455, 474.5454545454545, 237.27272727272725]"
5,5,4,400,"[0.0, 216.43356643356645, 527.2727272727273, 1033.9160839160838]","[323.18181818181824, 175.90909090909076, 329.318181818182]"
5,6,4,600,"[0.0, 409.44055944055947, 801.3986013986014, 1291.2587412587413]","[400.909090909091, 378.40909090909076, 355.909090909091]"
5,7,4,400,"[0.0, 195.45454545454544, 834.9650349650351, 1481.4685314685316]","[147.27272727272725, 488.86363636363626, 194.31818181818198]"
5,8,4,600,"[0.0, 545.8041958041958, 1206.993006993007, 2056.993006993007]","[519.5454545454546, 566.590909090909, 284.31818181818176]"
5,9,5,400,"[0.0, 482.4607329842932, 1022.5130890052355, 1340.0523560209424, 1979.5811518324608]","[470.4545454545454, 521.590909090909, 229.09090909090924, 431.590909090909]"
5,10,5,600,"[0.0, 551.5706806282723, 1095.2879581151833, 1696.5968586387435, 2269.109947643979]","[499.090909090909, 576.818181818182, 689.3181818181815, 576.818181818182]"
5,11,4,400,"[0.0, 636.013986013986, 1254.5454545454545, 1635.3146853146852]","[515.4545454545455, 556.3636363636363, 265.90909090909076]"
5,12,4,600,"[0.0, 356.993006993007, 962.2377622377621, 1651.3986013986014]","[484.77272727272714, 611.5909090909092, 220.90909090909076]"
5,13,5,400,"[0.0, 592.4083769633507, 964.9214659685863, 1570.4188481675392, 2131.413612565445]","[462.27272727272725, 630.0, 243.40909090909076, 392.727272727273]"
5,14,5,600,"[0.0, 653.6649214659685, 1375.392670157068, 2091.8848167539268, 2481.151832460733]","[668.8636363636364, 656.590909090909, 589.090909090909, 290.4545454545455]"
5,15,4,400,"[0.0, 450.6993006993007, 953.8461538461538, 1107.3426573426573]","[470.4545454545454, 353.8636363636365, 204.5454545454545]"
5,16,5,600,"[0.0, 836.9109947643979, 1210.4712041884816, 1817.0157068062827, 2297.9057591623036]","[554.3181818181818, 509.318181818182, 243.40909090909076, 335.4545454545455]"
5,17,5,400,"[0.0, 511.25654450261777, 684.8167539267015, 1018.0628272251308, 1173.2984293193717]","[380.4545454545455, 173.86363636363626, 274.09090909090924, 245.45454545454527]"
