pp_id,age,gender,L1,handedness,musical_experience
44,29.0,male,danish,right,0
48,21.0,trans woman,romanian,right,0
30,24.0,Female,French ,right,0
34,28.0,female,italian,right,0
33,32.0,Male,Danish,right,0.5
24,33.0,female,danish,right,0
29,24.0,female,Italian,right,0
22,25.0,Male,Romanian,right,0
66,28.0,m,greek,right,0
31,19.0,female,danish,left,2
36,19.0,female,german,left,0
20,26.0,F,Danish,right,0
52,21.0,male,Danish,right,0
42,27.0,female,greek,right,0
38,23.0,Female,Hungarian,right,0
63,28.0,male,Chinese,right,0
41,30.0,Male,Portuguese,right,6
32,34.0,Male,Danish,right,0
46,30.0,Female,Russian,right,0
35,22.0,male,catalan,right,0
39,35.0,female,danish,left,0
43,23.0,female,polish,right,0
65,23.0,Female,Slovak,right,"1,5"
55,24.0,male,Spanish,right,2
61,39.0,Female,Spanish,right,0
54,28.0,female,"german, polish",right,6
37,40.0,F,Russian,right,0
53,25.0,Male,Russian,right,4
27,33.0,Female,Spanish,right,0
59,19.0,Woman,Catalan,right,2
56,29.0,female,Indonesian,right,0
26,22.0,FEMALE,JAPANESE,right,5
60,25.0,Male,French,right,0
21,26.0,M,Italian,right,<1
45,34.0,female,Turkish,right,0
58,34.0,female,hungarian,right,less than 1
40,21.0,Female,French,right,11
23,21.0,f,romanian,right,0
49,22.0,Male,French,left,0
47,28.0,Female,Spanish,right,0
28,18.0,Male,Danish,right,0
62,19.0,Female,Slovak,right,12
50,35.0,Male,Spanish,right,1
51,22.0,Male,Danish,right,0
64,29.0,Female,Spanish,right,0
25,25.0,male,danish,right,1
57,27.0,Female,Spanish,right,0
