pp_id,stim_id,length,int_tempo,stim_onsets,resp_ITIs
41,1,5,400,"[0.0, 330.6282722513089, 697.9057591623036, 1227.4869109947645, 1592.1465968586388]","[370.2272727272725, 325.227272727273, 619.772727272727, 495.0]"
41,2,4,600,"[0.0, 769.5804195804196, 1427.2727272727275, 1969.5804195804199]","[644.318181818182, 705.681818181818, 519.5454545454545]"
41,3,4,400,"[0.0, 205.94405594405595, 401.3986013986014, 981.4685314685314]","[204.5454545454545, 239.31818181818198, 548.1818181818182]"
41,4,4,600,"[0.0, 496.8531468531469, 969.2307692307693, 1812.2377622377624]","[480.681818181818, 439.77272727272725, 754.7727272727275]"
41,5,4,400,"[0.0, 419.2307692307692, 1055.2447552447552, 1348.6013986013986]","[454.09090909090924, 640.2272727272725, 259.7727272727275]"
41,6,5,600,"[0.0, 381.413612565445, 786.3874345549739, 1481.9371727748692, 1970.6806282722514]","[439.77272727272725, 382.4999999999998, 627.9545454545455, 484.7727272727275]"
41,7,4,400,"[0.0, 457.69230769230774, 635.6643356643357, 922.027972027972]","[468.40909090909076, 204.5454545454545]"
41,8,4,600,"[0.0, 454.8951048951049, 1200.0, 1574.4755244755245]","[478.6363636363636, 646.3636363636363, 497.0454545454545]"
41,9,4,400,"[0.0, 247.90209790209792, 674.1258741258741, 1187.7622377622379]","[208.63636363636374, 437.72727272727275, 456.13636363636374]"
41,10,5,600,"[0.0, 792.4083769633507, 1608.3769633507852, 2332.722513089005, 3017.801047120419]","[691.3636363636363, 801.8181818181818, 707.727272727273, 556.363636363636]"
41,11,5,400,"[0.0, 382.98429319371724, 933.5078534031413, 1549.4764397905758, 1901.047120418848]","[382.5, 531.8181818181818, 642.272727272727, 417.2727272727275]"
41,12,4,600,"[0.0, 661.1888111888112, 1332.867132867133, 1752.797202797203]","[582.9545454545453, 683.1818181818182, 388.6363636363635]"
41,13,4,400,"[0.0, 366.7832167832168, 593.7062937062938, 1068.881118881119]","[398.86363636363626, 251.59090909090924, 535.9090909090908]"
41,14,5,600,"[0.0, 543.7172774869109, 972.2513089005236, 1550.0, 1991.6230366492146]","[492.9545454545454, 390.68181818181824, 601.3636363636365, 384.5454545454545]"
41,15,5,400,"[0.0, 278.27225130890054, 567.0157068062828, 1120.1570680628274, 1641.8848167539268]","[259.77272727272725, 270.0, 497.0454545454545, 531.818181818182]"
41,16,5,600,"[0.0, 726.9633507853403, 1283.7696335078533, 1819.633507853403, 2491.6230366492146]","[670.909090909091, 664.772727272727, 525.6818181818185, 357.9545454545455, 634.090909090909]"
41,17,5,400,"[0.0, 477.22513089005236, 1009.4240837696335, 1651.5706806282724, 1872.2513089005238]","[533.8636363636363, 484.7727272727275, 705.681818181818, 204.5454545454545]"
41,18,5,600,"[0.0, 661.5183246073298, 1370.1570680628272, 1971.4659685863874, 2418.324607329843]","[715.9090909090908, 689.318181818182, 517.5, 396.818181818182]"
41,19,4,400,"[0.0, 583.5664335664336, 1230.0699300699303, 1509.4405594405596]","[574.7727272727273, 615.681818181818, 243.409090909091]"
41,20,4,600,"[0.0, 500.34965034965035, 1049.6503496503497, 1560.4895104895104]","[562.5, 625.909090909091, 492.9545454545455]"
41,21,4,400,"[0.0, 338.8111888111888, 555.2447552447552, 901.048951048951]","[411.13636363636374, 214.77272727272725, 400.909090909091]"
41,22,4,600,"[0.0, 416.43356643356645, 843.3566433566434, 1378.6713286713289]","[456.13636363636374, 364.090909090909, 535.909090909091, 380.4545454545455]"
41,23,4,400,"[0.0, 272.3776223776224, 576.2237762237762, 1086.3636363636365]","[312.9545454545455, 286.3636363636365, 476.590909090909]"
41,24,4,600,"[0.0, 538.8111888111888, 1294.4055944055945, 2140.909090909091]","[601.3636363636364, 675.0, 748.6363636363635]"
41,25,4,400,"[0.0, 223.42657342657344, 625.1748251748252, 782.1678321678321]","[202.5, 441.81818181818153, 184.09090909090946]"
41,26,4,600,"[0.0, 433.91608391608395, 885.3146853146853, 1574.4755244755247]","[490.90909090909076, 402.9545454545455, 634.0909090909092]"
41,27,4,400,"[0.0, 310.83916083916085, 719.5804195804196, 1149.3006993006993]","[312.9545454545455, 435.68181818181824, 503.18181818181824]"
41,28,4,600,"[0.0, 524.8251748251748, 1102.097902097902, 1483.5664335664335]","[554.3181818181818, 623.8636363636363, 341.59090909090946]"
41,29,4,400,"[0.0, 219.93006993006992, 548.2517482517483, 1117.832167832168]","[251.590909090909, 360.0, 615.681818181818]"
41,30,5,600,"[0.0, 517.5392670157069, 1192.1465968586388, 1547.3821989528797, 2062.303664921466]","[558.409090909091, 621.8181818181818, 339.5454545454545, 535.909090909091]"
41,31,5,400,"[0.0, 443.1937172774869, 674.3455497382199, 1298.1675392670156, 1882.7225130890051]","[405.0, 222.9545454545455, 499.09090909090924, 206.590909090909, 807.9545454545455]"
41,32,4,600,"[0.0, 552.7972027972028, 1311.8881118881118, 1791.258741258741]","[546.1363636363635, 805.9090909090908, 554.318181818182]"
41,33,5,400,"[0.0, 555.7591623036649, 925.6544502617801, 1426.4397905759163, 1662.8272251308902]","[517.5, 284.31818181818153, 634.0909090909095, 220.90909090909054, 509.318181818182]"
41,34,4,600,"[0.0, 591.2587412587413, 1385.3146853146854, 2025.5244755244757]","[621.8181818181819, 795.681818181818, 601.3636363636365]"
41,35,4,400,"[0.0, 618.5314685314686, 1079.72027972028, 1519.9300699300702]","[630.0, 664.7727272727275, 411.1363636363635]"
41,36,5,600,"[0.0, 546.3350785340314, 1375.392670157068, 1997.6439790575917, 2714.1361256544506]","[615.681818181818, 826.3636363636363, 578.8636363636365, 597.2727272727275]"
41,37,4,400,"[0.0, 643.0069930069931, 1240.5594405594406, 1869.5804195804196]","[654.5454545454544, 646.3636363636363, 585.0]"
41,38,5,600,"[0.0, 554.1884816753927, 1053.4031413612565, 1523.8219895287957, 2321.465968586387]","[601.3636363636363, 593.1818181818182, 462.272727272727, 744.545454545455]"
41,39,4,400,"[0.0, 394.7552447552448, 911.888111888112, 1100.3496503496503]","[413.18181818181824, 548.1818181818182, 204.5454545454545]"
41,40,5,600,"[0.0, 350.0, 768.0628272251308, 1246.3350785340313, 1978.5340314136124]","[468.409090909091, 400.90909090909076, 427.5, 652.5]"
41,41,5,400,"[0.0, 589.7905759162304, 865.4450261780105, 1041.6230366492146, 1212.565445026178]","[582.9545454545455, 233.18181818181802, 198.409090909091, 198.409090909091]"
41,42,4,600,"[0.0, 766.0839160839162, 1542.6573426573427, 2305.244755244755]","[783.409090909091, 867.2727272727273, 793.6363636363635, 366.1363636363635]"
41,43,5,400,"[0.0, 592.4083769633507, 779.0575916230366, 1156.806282722513, 1573.8219895287957]","[650.4545454545457, 220.90909090909054, 376.3636363636365, 398.8636363636365]"
41,44,4,600,"[0.0, 678.6713286713286, 1406.2937062937062, 2008.041958041958]","[681.1363636363636, 812.0454545454547, 632.0454545454545]"
41,45,4,400,"[0.0, 611.5384615384615, 1233.5664335664337, 1432.5174825174827]","[617.7272727272727, 642.2727272727273, 200.4545454545455]"
41,46,5,600,"[0.0, 407.5916230366492, 1160.7329842931938, 1848.4293193717278, 2562.303664921466]","[394.77272727272714, 642.2727272727273, 607.5000000000002, 842.7272727272725]"
41,47,5,400,"[0.0, 396.0732984293194, 797.3821989528795, 1431.6753926701572, 1730.890052356021]","[370.22727272727263, 360.0, 615.6818181818185, 423.40909090909054]"
41,48,5,600,"[0.0, 617.0157068062827, 1354.4502617801045, 1764.659685863874, 2276.96335078534]","[658.6363636363637, 668.8636363636363, 439.7727272727275, 364.090909090909]"
41,49,4,600,"[0.0, 790.5594405594406, 1455.2447552447554, 2291.2587412587413]","[752.7272727272727, 756.8181818181818, 693.409090909091]"
41,50,4,400,"[0.0, 555.5944055944055, 908.3916083916083, 1250.6993006993007]","[587.0454545454545, 357.9545454545455, 317.0454545454545]"
41,51,4,600,"[0.0, 493.35664335664336, 1175.5244755244755, 1924.1258741258741]","[570.6818181818181, 675.0, 589.0909090909092]"
41,52,4,400,"[0.0, 356.2937062937063, 908.3916083916083, 1394.055944055944]","[417.27272727272737, 535.9090909090908, 548.1818181818185]"
41,53,4,600,"[0.0, 815.0349650349651, 1374.825174825175, 2067.482517482518]","[646.3636363636363, 468.40909090909076, 513.409090909091, 570.6818181818185]"
41,54,4,400,"[0.0, 209.44055944055944, 737.0629370629371, 981.4685314685314]","[229.09090909090924, 503.18181818181824, 220.90909090909076]"
41,55,5,600,"[0.0, 760.9947643979058, 1200.0, 2042.1465968586388, 2538.7434554973825]","[675.0, 405.0, 744.5454545454545, 431.590909090909]"
41,56,4,400,"[0.0, 233.91608391608392, 730.0699300699301, 1264.6853146853148]","[253.6363636363635, 482.72727272727275, 529.7727272727275]"
41,57,5,600,"[0.0, 389.26701570680626, 1048.1675392670156, 1777.7486910994762, 2397.382198952879]","[478.63636363636374, 623.8636363636363, 533.8636363636365, 515.4545454545455]"
41,58,4,400,"[0.0, 492.65734265734267, 1037.7622377622379, 1289.1608391608393]","[511.3636363636364, 568.6363636363637, 239.31818181818176]"
