ParticipantID,MET,WAIS_IV,Gold_MSI,g_response_group,entropydiff_group,isochrony_introduced_group,binary_ternary_group
1,48,117,4.14,high,low,high,low
2,39,94,1.14,high,high,high,low
3,29,111,1,high,high,low,high
4,34,97,1,high,high,low,low
5,34,85,1,low,high,low,high
6,34,108,1,high,low,high,low
7,42,117,2.43,low,high,high,low
8,31,79,1.57,high,low,high,low
9,42,82,1.57,high,low,high,high
10,45,122,1.86,low,low,high,low
11,37,106,2.86,high,low,high,low
12,38,100,3.14,low,low,high,low
13,40,97,2.86,high,high,low,high
14,38,114,2.29,low,high,low,low
15,36,114,1,low,high,low,high
16,29,85,1.29,high,low,high,low
17,44,108,1,low,high,low,low
18,33,103,1.29,low,low,high,low
19,41,91,1.57,low,high,high,high
20,43,63,1,low,low,low,low
21,25,114,1,high,high,low,low
22,37,111,3,low,low,low,high
23,37,119,1,high,high,low,high
24,44,103,1.29,low,low,high,low
25,34,100,1.57,low,high,low,high
26,48,NaN,4.29,high,low,high,low
27,41,88,2.57,low,low,high,low
28,37,79,1.14,low,high,high,high
29,37,132,2.86,high,high,low,high
30,45,NaN,4.71,high,low,high,low
31,38,91,2.29,high,high,low,high
32,42,88,1.71,high,high,low,high
33,37,119,1,low,high,low,high
34,46,117,5.71,low,high,high,low
35,38,100,2.57,low,low,high,low
36,39,82,1.71,high,high,low,high
37,40,103,3.71,high,low,high,low
38,37,85,1.29,high,high,high,high
39,31,91,1.14,low,low,low,high
40,39,106,1.29,low,high,low,high
41,38,106,1.29,low,low,low,high
42,32,85,1,high,low,low,high
43,39,108,3.29,low,low,high,high
44,28,79,2.71,low,high,low,high
45,37,94,1,high,high,low,high
46,34,108,1.43,high,low,high,high
47,34,88,2.86,high,low,high,low
