VisualNetwork ,MotorNetwork,DorsalAttentionNetwork ,VentralAttentionNetwork ,LimbicNetwork ,AuditoryNetwork,DefaultmodeNetwork ,BasalGanglia,SubLimbic,Cerebellar
4,16,2,3,5,1,7,36,40,35
6,21,8,26,31,29,9,37,41,84
10,23,17,30,32,33,11,38,42,
12,65,18,34,54,50,13,39,47,
20,70,19,52,80,78,14,43,48,
53,72,28,75,81,82,15,44,49,
55,,51,79,,,22,45,,
59,,57,83,,,24,46,,
61,,66,,,,25,,,
69,,67,,,,27,,,
,,68,,,,56,,,
,,77,,,,58,,,
,,,,,,60,,,
,,,,,,62,,,
,,,,,,63,,,
,,,,,,64,,,
,,,,,,71,,,
,,,,,,73,,,
,,,,,,74,,,
,,,,,,76,,,
