Nodes,DKRegionName,DKParcellation,Abreviation,Network,R,G,B
1,lh Banks superior temporal sulcus,Desikan.bankssts (L),BSTS,AUD,0.7686,0.2275,0.9804
2,lh Caudal anterior-cingulate cortex,Desikan.caudalanteriorcingulate (L),CACC,DAN,0,0.4627,0.0549
3,lh Caudal middle frontal gyrus,Desikan.caudalmiddlefrontal (L),CMFG,VAN,0.902,0.5804,0.1333
4,lh Cuneus cortex,Desikan.cuneus (L),CUN,VIS,0.4706,0.0706,0.5255
5,lh Entorhinal cortex,Desikan.entorhinal (L),ENT,LIM,0.8627,0.9725,0.6431
6,lh Fusiform gyrus,Desikan.fusiform (L),FUSI,VIS,0.4706,0.0706,0.5255
7,lh Inferior parietal cortex,Desikan.inferiorparietal (L),IPC,DMN,0.8039,0.2431,0.3059
8,lh Inferior temporal gyrus,Desikan.inferiortemporal (L),ITG,DAN,0,0.4627,0.0549
9,lh Isthmus – cingulate cortex,Desikan.isthmuscingulate (L),ISTC,DMN,0.8039,0.2431,0.3059
10,lh Lateral occipital cortex,Desikan.lateraloccipital (L),LOCC,VIS,0.4706,0.0706,0.5255
11,lh Lateral orbital frontal cortex,Desikan.lateralorbitofrontal (L),LOF,DMN,0.8039,0.2431,0.3059
12,lh Lingual gyrus,Desikan.lingual (L),LING,VIS,0.4706,0.0706,0.5255
13,lh Medial orbital frontal cortex,Desikan.medialorbitofrontal (L),MOF,DMN,0.8039,0.2431,0.3059
14,lh Middle temporal gyrus,Desikan.middletemporal (L),MTG,DMN,0.8039,0.2431,0.3059
15,lh Parahippocampal gyrus,Desikan.parahippocampal (L),PHG,DMN,0.8039,0.2431,0.3059
16,lh Paracentral lobule,Desikan.paracentral (L),PARC,MOT,0.2745,0.5098,0.7059
17,lh Pars opercularis,Desikan.parsopercularis (L),POPE,DAN,0,0.4627,0.0549
18,lh Pars orbitalis,Desikan.parsorbitalis (L),PORB,DAN,0,0.4627,0.0549
19,lh Pars triangularis,Desikan.parstriangularis (L),PTRI,DAN,0,0.4627,0.0549
20,lh Pericalcarine cortex,Desikan.pericalcarine (L),PERI,VIS,0.4706,0.0706,0.5255
21,lh Postcentral gyrus,Desikan.postcentral (L),PSTC,MOT,0.2745,0.5098,0.7059
