pp_id,stim_tempo_intended,length,sequence_id,fourier_16th_duration_stim,fourier_16th_duration_resp,fourier_16th_duration_combined
20,400,4,20_101,69,69,69
20,400,4,20_103,49,49,49
20,400,4,20_113,101,87,101
20,400,4,20_117,118,74,74
20,400,4,20_123,112,112,112
20,400,4,20_13,135,135,135
20,400,4,20_133,112,94,112
20,400,4,20_135,75,109,100
20,400,4,20_143,102,102,102
20,400,4,20_146,98,98,98
20,400,4,20_150,83,83,83
20,400,4,20_152,73,86,86
20,400,4,20_164,97,85,85
20,400,4,20_166,78,113,78
20,400,4,20_168,122,135,122
20,400,4,20_170,143,143,143
20,400,4,20_174,84,84,84
20,400,4,20_184,109,100,109
20,400,4,20_188,92,92,92
20,400,4,20_190,115,115,115
20,400,4,20_192,66,88,88
20,400,4,20_25,107,151,151
20,400,4,20_29,148,148,148
20,400,4,20_31,85,74,74
20,400,4,20_39,156,117,156
20,400,4,20_45,82,82,82
20,400,4,20_56,147,147,147
20,400,4,20_58,78,78,78
20,400,4,20_62,124,136,124
20,400,4,20_64,128,91,91
20,400,4,20_66,96,96,96
20,400,4,20_68,73,73,73
20,400,4,20_7,67,67,67
20,400,4,20_70,68,108,68
20,400,4,20_78,117,106,106
20,400,4,20_80,113,113,113
20,400,4,20_82,90,90,90
20,400,4,20_84,47,47,47
20,400,4,20_86,80,91,159
20,400,4,20_9,120,144,120
20,400,4,20_90,132,132,132
20,400,4,20_92,102,143,143
20,400,4,20_94,57,57,57
20,400,4,20_96,57,57,57
20,400,5,20_105,81,81,81
20,400,5,20_107,128,105,128
20,400,5,20_109,75,60,75
20,400,5,20_11,78,78,78
20,400,5,20_115,137,183,110
20,400,5,20_119,144,132,132
20,400,5,20_121,141,153,141
20,400,5,20_125,67,67,67
20,400,5,20_127,102,102,102
20,400,5,20_129,123,115,115
20,400,5,20_131,109,117,127
20,400,5,20_137,104,112,112
20,400,5,20_139,98,98,98
20,400,5,20_141,153,153,153
20,400,5,20_148,116,90,90
20,400,5,20_15,96,160,96
20,400,5,20_154,76,76,76
20,400,5,20_156,104,98,104
20,400,5,20_158,209,209,209
20,400,5,20_160,84,103,84
20,400,5,20_162,89,101,89
20,400,5,20_17,113,129,113
20,400,5,20_172,123,85,85
20,400,5,20_176,144,144,144
20,400,5,20_178,118,118,118
20,400,5,20_180,132,132,132
20,400,5,20_182,87,87,87
20,400,5,20_186,104,104,104
20,400,5,20_19,120,80,120
20,400,5,20_21,138,138,138
20,400,5,20_23,117,117,117
20,400,5,20_27,108,108,108
20,400,5,20_3,86,86,86
20,400,5,20_33,143,143,143
20,400,5,20_37,116,116,116
20,400,5,20_41,97,97,97
20,400,5,20_43,138,92,138
20,400,5,20_47,95,95,95
20,400,5,20_5,73,73,73
20,400,5,20_50,148,89,89
20,400,5,20_52,79,91,64
20,400,5,20_54,106,86,86
20,400,5,20_60,93,93,93
20,400,5,20_72,92,92,92
20,400,5,20_74,131,87,87
20,400,5,20_88,104,99,99
20,400,5,20_97,103,155,155
20,400,5,20_99,103,77,77
20,600,4,20_10,170,138,138
20,600,4,20_100,93,93,93
20,600,4,20_102,177,177,177
20,600,4,20_104,100,119,136
20,600,4,20_108,185,101,185
20,600,4,20_114,125,146,146
20,600,4,20_120,119,112,149
20,600,4,20_124,158,190,158
20,600,4,20_130,132,158,158
20,600,4,20_134,124,93,93
20,600,4,20_136,100,87,87
20,600,4,20_138,195,178,178
20,600,4,20_147,105,190,158
20,600,4,20_153,142,200,199
20,600,4,20_155,104,125,104
20,600,4,20_16,141,141,141
20,600,4,20_163,123,103,103
20,600,4,20_165,116,145,145
20,600,4,20_173,116,116,116
20,600,4,20_175,144,144,144
20,600,4,20_181,191,191,191
20,600,4,20_183,156,144,156
20,600,4,20_185,115,108,153
20,600,4,20_187,135,184,168
20,600,4,20_2,180,196,180
20,600,4,20_22,128,170,128
20,600,4,20_26,128,105,179
20,600,4,20_28,146,146,146
20,600,4,20_30,124,93,124
20,600,4,20_32,126,177,177
20,600,4,20_34,166,138,138
20,600,4,20_38,180,197,180
20,600,4,20_44,168,95,126
20,600,4,20_49,139,148,173
20,600,4,20_51,112,112,112
20,600,4,20_53,162,149,194
20,600,4,20_55,100,124,100
20,600,4,20_57,111,120,120
20,600,4,20_6,204,204,204
20,600,4,20_61,118,200,200
20,600,4,20_67,205,205,204
20,600,4,20_73,159,122,122
20,600,4,20_77,151,151,151
20,600,4,20_79,206,129,206
20,600,4,20_81,111,185,139
20,600,4,20_83,199,199,199
20,600,4,20_87,113,176,99
20,600,4,20_95,94,116,94
20,600,5,20_106,179,164,123
20,600,5,20_110,133,133,133
20,600,5,20_112,117,215,161
20,600,5,20_116,182,102,159
20,600,5,20_118,119,119,119
20,600,5,20_12,101,194,194
20,600,5,20_122,121,164,164
20,600,5,20_126,142,127,201
20,600,5,20_128,161,119,171
20,600,5,20_132,146,146,146
20,600,5,20_14,123,195,123
20,600,5,20_140,182,182,182
20,600,5,20_142,136,198,136
20,600,5,20_144,140,216,149
20,600,5,20_145,101,101,101
20,600,5,20_149,134,167,167
20,600,5,20_151,138,146,146
20,600,5,20_157,131,131,131
20,600,5,20_159,137,96,96
20,600,5,20_161,112,154,154
20,600,5,20_167,218,105,105
20,600,5,20_169,116,212,212
20,600,5,20_171,147,124,147
20,600,5,20_177,206,206,206
20,600,5,20_179,170,170,170
