pp_id_behav,pp_id_scan,stim_tempo_intended,length,condition,n_trials,G_resp,entropy_diff_norm_q_avg,asynchrony_norm_abs_avg,iti_ioi_cov_diff_avg,binary_or_ternary_introduced,tempo_deviation_abs_avg
53,20,400,4,400_4,44,0.0047626958828912,-0.07094138222915483,0.023462763231316422,-0.006973241358277658,-0.7684659090909092,0.054368899753140784
53,20,400,5,400_5,43,0.000764125813939,-0.0816650795428643,0.021155430576149586,-0.00578874549265343,-0.1477713178294574,0.046599705882039925
53,20,600,4,600_4,43,0.0848204507196059,-0.11842124061298842,0.024505408597163356,-0.024837006117246124,-0.8313953488372096,0.06621572407316471
53,20,600,5,600_5,43,0.0578099181301451,-0.1783832907837869,0.0238592779336705,-0.033146636415686076,0.2771317829457365,0.0621233444460833
28,21,400,4,400_4,44,0.024429088771628,-0.1129503022630909,0.027699467137148624,-0.001309926523755173,1.7400568181818181,0.06397151600661631
28,21,400,5,400_5,38,0.0167875229732764,-0.07984770510847514,0.02929757555485083,-0.0017432672574229332,-0.43366228070175394,0.06420294603245365
28,21,600,4,600_4,42,0.0746400619994754,-0.20656267344796694,0.03624167271372048,-0.027652917258130065,-0.42559523809523814,0.07201707435223485
28,21,600,5,600_5,37,0.0828110754646948,-0.050186607314914124,0.0352500657297004,0.017244808037037287,0.6441441441441441,0.09525229144332907
22,22,400,4,400_4,40,0.0322424658071427,0.0,0.059137091197646964,0.07946303931016384,0.34999999999999987,0.1301740334919654
22,22,400,5,400_5,30,0.0080823561646253,0.014384103622589054,0.060679718166923725,0.05194472926676083,3.359722222222223,0.09657865816786285
22,22,600,4,600_4,35,0.1012989742058155,-0.0264056068784741,0.07093152253511707,0.06491904993009878,3.0428571428571427,0.12492331432437301
22,22,600,5,600_5,34,0.1186024700746269,0.004046692724421022,0.05591515945768172,0.07188980422340994,1.9129901960784315,0.13417389242394956
51,23,400,4,400_4,45,0.077368710730899,-0.041075388477626394,0.037583672732469,-0.021040025338372948,-0.026388888888888653,0.09976310694170659
51,23,400,5,400_5,39,0.0633014298613827,-0.09557333268415386,0.04142204327137803,-0.026993668301592298,-0.5881410256410254,0.08477160698998225
51,23,600,4,600_4,40,0.0728993934308435,0.1488789890928461,0.03957656820063281,-0.0011640339223756438,0.22343750000000007,0.10550817537501224
51,23,600,5,600_5,38,0.0631224737443831,-0.005856238711263509,0.04548946921753626,0.039980222407303895,-0.06798245614035085,0.13931505286087092
43,24,400,4,400_4,40,0.0658562754230127,0.03182570841474064,0.06492452604454713,0.08122669934359134,1.3703125,0.17176280052527063
43,24,400,5,400_5,34,0.031782904799836,0.007694825643596294,0.06529691411555788,0.07735093953436258,1.2996323529411762,0.13531159370528803
43,24,600,4,600_4,40,0.0242512082190006,0.15171063970610274,0.09180950165029718,0.1483356237589818,3.8578125,0.24441522694993495
43,24,600,5,600_5,40,0.0032155564069533,-0.03465735902799727,0.06266848610128117,0.07578151308307422,2.8859375,0.1707339494235455
44,25,400,4,400_4,45,0.0008911545851267,-0.15539159619979337,0.03376080064080057,-0.023626011749093116,1.7875000000000003,0.07500771350180425
44,25,400,5,400_5,42,0.0039890693458065,-0.16721897239729358,0.03648075135627392,-0.023317127471538007,1.1656746031746035,0.06766946370158329
44,25,600,4,600_4,48,0.023355704154642,-0.1914551334651442,0.03379256089903461,-0.0037501035381369337,4.9343245538895844e-17,0.14933174437784075
44,25,600,5,600_5,47,0.0531480896426208,-0.15582782794516734,0.036993370318541836,-0.010017637644921315,0.35283687943262404,0.1550708442823122
35,26,400,4,400_4,45,0.0420133168967271,-0.051344235597032974,0.03170235790633991,0.01905729682119641,-2.4097222222222223,0.13511766369826694
35,26,400,5,400_5,37,0.0090580960749264,-0.02686103387287783,0.03019185728941544,0.010823017726122736,0.10472972972972973,0.13243776470717938
35,26,600,4,600_4,41,0.0655777194068719,-0.14099374428761774,0.03747840611583232,-0.025458561153630814,-0.43597560975609767,0.08372419698047615
35,26,600,5,600_5,36,0.0252410736666779,-0.002359708844380538,0.02685960864789023,-0.0019451690956046968,0.16550925925925922,0.09600151541767603
29,27,400,4,400_4,43,0.0397086503728449,-0.08070355613781034,0.04836375069082761,-0.026113935092254983,-0.2078488372093024,0.11774050676720206
29,27,400,5,400_5,42,0.0163853500335237,-0.11147931493152904,0.04975859819735381,-0.010332870744918262,0.32638888888888945,0.11693126833643006
29,27,600,4,600_4,43,0.0786123476739564,-0.23805448125246553,0.0446163924039693,-0.014081412629120072,1.0392441860465118,0.1151282115306455
29,27,600,5,600_5,43,0.1441544608233754,-0.11299548326997197,0.047742149004609484,0.010762172265422655,0.6928294573643412,0.12456719064545553
23,28,400,4,400_4,46,0.0090549227030154,-0.13192229539661104,0.031962462128895225,-0.019856336491961925,0.7092391304347827,0.07271847632288736
23,28,400,5,400_5,45,0.0011469659409885,-0.18208288105483073,0.031029726045043265,-0.026777365305092685,0.6643518518518524,0.07619531161689187
23,28,600,4,600_4,47,0.0084141579410184,-0.195528646943126,0.03638557337242526,-0.024872433140802473,-1.140957446808511,0.08286908348292518
23,28,600,5,600_5,45,0.0857004269279355,-0.22059105775260557,0.033551546722385694,-0.00958689798235835,1.9574074074074077,0.09260181080526463
20,29,400,4,400_4,44,0.0047626958828912,-0.15238499446679368,0.020044114365386802,-0.007639571572645264,1.8551136363636362,0.05182412257801877
20,29,400,5,400_5,48,0.0018106749310119,-0.10653446532920607,0.01749846758435523,-0.019413600894525124,2.002604166666667,0.05145390180659432
20,29,600,4,600_4,48,0.0567914717802945,-0.17819442162566895,0.020365708305867942,-0.0035170119164888427,0.3723958333333334,0.045895230874887026
20,29,600,5,600_5,48,0.0359915427804836,-0.1200195624753833,0.020046775208034735,-0.004525475312301015,1.2413194444444449,0.042519010811740365
59,30,400,4,400_4,47,0.0323761773402119,-0.16844293765398505,0.033424355248432965,-0.028450473233208862,0.652925531914894,0.13107236802101568
59,30,400,5,400_5,35,0.0845376868796088,-0.132658406464856,0.03936817202583761,-0.045538154960486764,0.03690476190476204,0.11430822669526368
59,30,600,4,600_4,43,0.0168599286652347,-0.1236894278004426,0.03900131408792279,-0.012875433164212205,-0.8313953488372096,0.1859872851302346
59,30,600,5,600_5,45,0.0515970614603148,-0.2060563870924792,0.0359677454413791,-0.03635237871207775,0.0,0.2256064186850453
26,31,400,4,400_4,40,0.014900513391815,-0.16762349391347306,0.028097861605892633,-0.021874173092495657,0.9421875000000003,0.08775675754416003
26,31,400,5,400_5,39,0.0070275385561804,-0.10445983499902496,0.02237789841898727,0.006010115724884917,2.0165598290598292,0.08997232763523481
26,31,600,4,600_4,43,0.0595812049415104,-0.0040561871609654885,0.029536489016666615,-0.001566042573539445,-0.4156976744186048,0.06835179809924724
26,31,600,5,600_5,39,0.043829140637156,-0.14671415379395225,0.032379079871596446,-0.03841632522545386,-1.680555555555556,0.05836936628323609
