pp_id_behav,pp_id_scan,stim_tempo_intended,length,condition,n_trials,G_resp,entropy_diff_norm_q_avg,asynchrony_norm_abs_avg,simple_ratio_introduced_avg,tempo_deviation_abs_avg
53,20,400,4,400_4,44,0.0047626958828912,-0.0709413822291548,0.0234627632313164,0.0,0.0543688997531407
28,21,400,4,400_4,44,0.0244290887716278,-0.1129503022630909,0.0276994671371486,0.1818181818181818,0.0639715160066163
22,22,400,4,400_4,40,0.0322424658071427,0.0,0.0591370911976469,-0.1,0.1301740334919654
51,23,400,4,400_4,45,0.0773687107308988,-0.0410753884776263,0.037583672732469,0.1555555555555555,0.0997631069417065
43,24,400,4,400_4,40,0.0658562754230127,0.0318257084147406,0.0649245260445471,-0.375,0.1717628005252706
44,25,400,4,400_4,45,0.0008911545851268,-0.1553915961997933,0.0337608006408005,0.3111111111111111,0.0750077135018042
35,26,400,4,400_4,45,0.0420133168967271,-0.0513442355970329,0.0317023579063399,-0.2,0.1351176636982669
29,27,400,4,400_4,43,0.0397086503728452,-0.0807035561378103,0.0483637506908276,0.2558139534883721,0.117740506767202
23,28,400,4,400_4,46,0.0090549227030155,-0.131922295396611,0.0319624621288952,0.1956521739130435,0.0727184763228873
20,29,400,4,400_4,44,0.0047626958828912,-0.1523849944667936,0.0200441143653868,0.4090909090909091,0.0518241225780187
59,30,400,4,400_4,47,0.0323761773402121,-0.168442937653985,0.0334243552484329,0.3404255319148936,0.1310723680210156
26,31,400,4,400_4,40,0.0149005133918149,-0.167623493913473,0.0280978616058926,0.3,0.08775675754416
31,32,400,4,400_4,47,0.008030302418212,-0.121693478561725,0.0339351141109734,0.425531914893617,0.1002013892780534
25,33,400,4,400_4,44,0.022856087097138,-0.1838916844922457,0.0309915543360708,0.4318181818181818,0.0534304200915864
32,34,400,4,400_4,47,0.0246216351507458,-0.043038479349249,0.030428820230659,0.1914893617021276,0.1539539157060281
63,35,400,4,400_4,24,0.0150849674044211,-0.2673857368369642,0.0644221814127058,0.5416666666666666,0.137380107334787
48,36,400,4,400_4,48,0.0128613485985019,-0.1035377770745,0.0274542541770655,0.1666666666666666,0.0929467447438012
52,37,400,4,400_4,25,0.0630044940465752,-0.0439444915467243,0.0527256716378147,0.44,0.10852238303385
58,38,400,4,400_4,45,0.0495007018732385,-0.0552201477730666,0.0373750802099185,0.2444444444444444,0.1982800227464911
66,39,400,4,400_4,38,0.0103239520467944,0.0289108497017923,0.0447334317272993,-0.0789473684210526,0.0802759684293222
60,40,400,4,400_4,22,0.0529627523410365,-0.1050223000848401,0.0889106134515413,0.0454545454545454,0.2018307844493688
45,41,400,4,400_4,41,0.0069581247709483,-0.13524823035316,0.0263354316966895,0.1951219512195122,0.0606114550363816
57,42,400,4,400_4,38,0.0165185689070481,0.0456612225516558,0.0317253360342936,0.1052631578947368,0.1414188771594068
47,43,400,4,400_4,42,0.013365579824086,-0.0880186895949136,0.0322912410761742,0.4761904761904761,0.0878640411705555
49,44,400,4,400_4,42,0.0308088634293008,-0.110023361993642,0.0314847840936246,0.1428571428571428,0.0766685623597146
40,46,400,4,400_4,46,0.0245301224924565,-0.0602736678747778,0.0253948115550963,-0.108695652173913,0.1047507552141122
65,47,400,4,400_4,44,0.0084565978878624,-0.0919458422461228,0.0327303015477495,-0.0227272727272727,0.0732339388328933
64,48,400,4,400_4,32,0.0634944582038609,0.0523117635491147,0.0362203255822359,0.0625,0.0974751377427369
36,49,400,4,400_4,40,0.0171606317341156,-0.0043604011980379,0.0344241387515459,0.15,0.0757453725029595
41,50,400,4,400_4,45,0.0210025432801559,-0.0063929349433729,0.0217942794511748,0.0666666666666666,0.0670773056073822
33,51,400,4,400_4,37,0.0393530316924949,-0.029692224018057,0.0411119176679079,0.0,0.1038401765453834
21,52,400,4,400_4,44,0.0505918776968697,0.0249684611060934,0.0411094659523963,0.0681818181818181,0.1190888386803565
38,53,400,4,400_4,44,0.0026656871135541,-0.0184302321867347,0.0401522461640861,0.0681818181818181,0.1367513111224126
62,54,400,4,400_4,48,0.020542918173385,-0.0613959327116936,0.0261017375673039,0.3958333333333333,0.0588677419912395
24,56,400,4,400_4,48,0.0115709437602966,-0.0554025562022815,0.0254062778352276,0.2083333333333333,0.0700482777216537
34,57,400,4,400_4,35,0.0730019393677311,0.013202803439237,0.0335522182990271,-0.0285714285714285,0.0754027842065067
55,58,400,4,400_4,46,0.0628631248972453,-0.1067100712214075,0.0338569210658287,0.3695652173913043,0.1046952874135175
37,59,400,4,400_4,43,0.0412710149897241,0.002634093593727,0.0368612079877264,0.1395348837209302,0.0950124582932774
46,60,400,4,400_4,37,0.1242082240365548,-0.2014789175503784,0.0429769452890586,0.2162162162162162,0.1167507988484811
27,61,400,4,400_4,45,0.06339864747923,-0.0590960599491003,0.0402956003335059,0.1777777777777777,0.09589269692504
42,62,400,4,400_4,42,0.0526792750444238,-0.1623382328825997,0.0293918707513953,0.1666666666666666,0.0909281972683481
30,63,400,4,400_4,46,0.0532792851709171,-0.0803648904997037,0.0367315910742966,0.0652173913043478,0.1065828487741786
54,64,400,4,400_4,47,0.0135951775741828,-0.1819857922985555,0.0376776303087381,0.3191489361702128,0.0764550550676627
50,65,400,4,400_4,36,0.0191132298133449,0.0336632864777326,0.077370839709563,0.2777777777777778,0.1179356739186856
61,66,400,4,400_4,43,0.0554330913326519,-0.0752252754096064,0.0352272413187254,0.2093023255813953,0.0661840751660807
56,67,400,4,400_4,42,0.0191910788666626,-0.0467061549053202,0.0387113096820816,0.3095238095238095,0.0810760347375953
39,68,400,4,400_4,42,0.1516025240137444,-0.1527918496211224,0.0501769790689922,0.1428571428571428,0.1521223873171794
