pp_id,sequence_id,isochrony_freq_stim,isochrony_freq_resp,binary_freq_stim,binary_freq_resp,ternary_freq_stim,ternary_freq_resp,isochrony_introduced,binary_introduced,ternary_introduced,simple_ratio_introduced
20,20_2,2,1,0,0,0,0,-1,0,0,-1
20,20_3,0,0,1,1,1,1,0,0,0,0
20,20_4,2,2,0,0,0,0,0,0,0,0
20,20_5,1,1,1,1,0,0,0,0,0,0
20,20_6,2,2,0,0,0,0,0,0,0,0
20,20_7,0,1,0,1,0,0,1,1,0,2
20,20_8,2,2,0,0,0,0,0,0,0,0
20,20_9,0,1,0,0,0,0,1,0,0,1
20,20_10,1,1,0,0,0,0,0,0,0,0
20,20_11,0,0,1,1,0,0,0,0,0,0
20,20_12,1,1,1,1,0,0,0,0,0,0
20,20_13,0,0,1,1,0,0,0,0,0,0
20,20_14,0,2,1,1,0,0,2,0,0,2
20,20_15,0,0,0,1,0,0,0,1,0,1
20,20_16,1,2,0,0,0,0,1,0,0,1
20,20_17,1,2,0,0,0,0,1,0,0,1
20,20_18,2,2,1,1,0,0,0,0,0,0
20,20_19,1,1,1,0,0,0,0,-1,0,-1
20,20_20,1,2,1,1,0,0,1,0,0,1
20,20_21,1,1,1,2,0,0,0,1,0,1
20,20_22,1,2,0,0,0,0,1,0,0,1
20,20_23,2,2,0,1,1,0,0,1,-1,0
20,20_24,2,2,0,0,0,0,0,0,0,0
20,20_25,2,2,0,0,0,0,0,0,0,0
20,20_26,1,1,1,1,0,0,0,0,0,0
20,20_27,3,3,0,0,0,0,0,0,0,0
20,20_28,2,2,0,0,0,0,0,0,0,0
20,20_29,0,0,0,0,0,0,0,0,0,0
20,20_30,1,1,0,0,0,0,0,0,0,0
20,20_31,1,1,0,1,0,0,0,1,0,1
20,20_32,1,1,1,1,0,0,0,0,0,0
20,20_33,1,2,0,1,0,0,1,1,0,2
20,20_34,0,2,0,0,0,0,2,0,0,2
20,20_36,1,1,0,0,0,0,0,0,0,0
20,20_37,2,2,0,0,0,0,0,0,0,0
20,20_38,2,1,0,0,0,0,-1,0,0,-1
20,20_39,0,0,1,1,0,0,0,0,0,0
20,20_40,1,1,1,1,0,0,0,0,0,0
20,20_41,1,2,0,0,0,0,1,0,0,1
20,20_42,3,3,0,0,0,0,0,0,0,0
20,20_43,0,0,0,1,1,1,0,1,0,1
20,20_44,0,1,0,0,0,0,1,0,0,1
20,20_45,1,1,1,1,0,0,0,0,0,0
20,20_46,1,3,0,0,0,0,2,0,0,2
20,20_47,1,1,0,1,0,0,0,1,0,1
20,20_48,1,2,0,0,0,0,1,0,0,1
20,20_49,1,2,0,0,0,0,1,0,0,1
20,20_50,2,2,0,0,1,0,0,0,-1,-1
20,20_51,2,2,0,0,0,0,0,0,0,0
20,20_52,0,0,1,0,1,0,0,-1,-1,-2
20,20_53,0,1,1,0,0,0,1,-1,0,0
20,20_54,2,1,0,0,0,1,-1,0,1,0
20,20_55,1,1,1,0,0,0,0,-1,0,-1
20,20_56,2,2,0,0,0,0,0,0,0,0
20,20_57,1,2,0,0,0,0,1,0,0,1
20,20_58,0,0,1,1,0,0,0,0,0,0
20,20_59,3,3,0,0,0,0,0,0,0,0
20,20_60,1,1,0,1,0,1,0,1,1,2
20,20_61,1,1,0,0,0,0,0,0,0,0
20,20_62,0,1,1,1,0,0,1,0,0,1
20,20_63,2,2,0,0,0,0,0,0,0,0
20,20_64,0,0,0,0,0,2,0,0,2,2
20,20_65,1,1,1,1,0,0,0,0,0,0
20,20_66,0,0,1,2,0,0,0,1,0,1
20,20_67,0,0,1,1,0,0,0,0,0,0
20,20_68,1,1,1,1,0,0,0,0,0,0
20,20_69,2,3,0,0,0,0,1,0,0,1
20,20_70,0,0,0,0,0,0,0,0,0,0
20,20_71,2,2,1,1,0,0,0,0,0,0
20,20_72,0,0,1,1,0,0,0,0,0,0
20,20_73,0,0,0,0,0,0,0,0,0,0
20,20_74,0,0,1,1,0,0,0,0,0,0
20,20_75,2,2,0,0,0,0,0,0,0,0
20,20_76,0,0,1,1,0,0,0,0,0,0
20,20_77,1,2,0,0,0,0,1,0,0,1
20,20_78,0,0,0,1,0,0,0,1,0,1
20,20_79,1,1,1,0,0,0,0,-1,0,-1
20,20_80,1,2,0,0,0,0,1,0,0,1
20,20_81,0,0,0,1,0,0,0,1,0,1
20,20_82,0,0,0,0,1,1,0,0,0,0
20,20_83,0,0,0,0,0,0,0,0,0,0
20,20_84,1,2,0,0,0,0,1,0,0,1
20,20_85,2,1,0,0,0,0,-1,0,0,-1
20,20_86,0,0,0,0,1,1,0,0,0,0
20,20_87,0,0,0,1,0,0,0,1,0,1
20,20_88,2,1,0,0,0,0,-1,0,0,-1
20,20_89,1,1,0,1,0,0,0,1,0,1
20,20_90,2,2,0,0,0,0,0,0,0,0
20,20_91,3,2,0,0,0,0,-1,0,0,-1
20,20_92,1,1,1,1,0,0,0,0,0,0
20,20_93,0,1,1,1,0,0,1,0,0,1
20,20_94,0,1,0,1,0,0,1,1,0,2
20,20_95,1,1,0,0,0,0,0,0,0,0
20,20_96,0,0,1,1,0,0,0,0,0,0
20,20_97,0,1,1,1,0,0,1,0,0,1
20,20_98,2,3,0,0,0,0,1,0,0,1
20,20_99,0,0,1,0,0,1,0,-1,1,0
