pp_id,stim_tempo_intended,length,hypo_distribution,ks_statistic
20,400,4,binary,0.447
20,400,4,ternary,0.237
20,400,5,binary,0.424
20,400,5,ternary,0.227
20,600,4,binary,0.156
20,600,4,ternary,0.269
20,600,5,binary,0.143
20,600,5,ternary,0.318
21,400,4,binary,0.596
21,400,4,ternary,0.415
21,400,5,binary,0.579
21,400,5,ternary,0.388
21,600,4,binary,0.451
21,600,4,ternary,0.241
21,600,5,binary,0.351
21,600,5,ternary,0.186
22,400,4,binary,0.571
22,400,4,ternary,0.374
22,400,5,binary,0.495
22,400,5,ternary,0.288
22,600,4,binary,0.374
22,600,4,ternary,0.19
22,600,5,binary,0.396
22,600,5,ternary,0.215
23,400,4,binary,0.398
23,400,4,ternary,0.187
23,400,5,binary,0.346
23,400,5,ternary,0.162
23,600,4,binary,0.17
23,600,4,ternary,0.224
23,600,5,binary,0.248
23,600,5,ternary,0.114
