pp_id,stim_tempo_intended,length,n_maxima,maximum_i,maximum_location
20,400,4,2,0,0.493
20,400,4,2,1,0.675
20,400,5,1,0,0.499
20,600,4,1,0,0.499
20,600,5,2,0,0.506
20,600,5,2,1,0.65
21,400,4,2,0,0.33
21,400,4,2,1,0.619
21,400,5,3,0,0.308
21,400,5,3,1,0.495
21,400,5,3,2,0.666
21,600,4,2,0,0.502
21,600,4,2,1,0.664
21,600,5,3,0,0.361
21,600,5,3,1,0.492
21,600,5,3,2,0.644
22,400,4,2,0,0.41300000000000003
22,400,4,2,1,0.6910000000000001
22,400,5,2,0,0.41200000000000003
22,400,5,2,1,0.685
22,600,4,2,0,0.503
22,600,4,2,1,0.68
22,600,5,2,0,0.491
22,600,5,2,1,0.6900000000000001
23,400,4,1,0,0.506
23,400,5,3,0,0.375
23,400,5,3,1,0.497
23,400,5,3,2,0.642
23,600,4,1,0,0.494
23,600,5,2,0,0.49
23,600,5,2,1,0.63
24,400,4,3,0,0.382
24,400,4,3,1,0.51
24,400,4,3,2,0.631
24,400,5,3,0,0.366
24,400,5,3,1,0.501
24,400,5,3,2,0.638
24,600,4,1,0,0.501
24,600,5,1,0,0.51
25,400,4,2,0,0.488
25,400,4,2,1,0.642
25,400,5,3,0,0.34700000000000003
25,400,5,3,1,0.497
25,400,5,3,2,0.636
25,600,4,2,0,0.502
25,600,4,2,1,0.63
25,600,5,1,0,0.485
26,400,4,2,0,0.482
26,400,4,2,1,0.676
26,400,5,1,0,0.495
26,600,4,1,0,0.47600000000000003
26,600,5,1,0,0.495
27,400,4,2,0,0.47700000000000004
27,400,4,2,1,0.661
27,400,5,3,0,0.328
27,400,5,3,1,0.498
27,400,5,3,2,0.676
27,600,4,2,0,0.363
27,600,4,2,1,0.503
27,600,5,2,0,0.492
27,600,5,2,1,0.654
28,400,4,2,0,0.486
28,400,4,2,1,0.684
28,400,5,3,0,0.368
28,400,5,3,1,0.481
28,400,5,3,2,0.666
28,600,4,1,0,0.513
28,600,5,1,0,0.47700000000000004
29,400,4,1,0,0.5
29,400,5,3,0,0.343
29,400,5,3,1,0.49
29,400,5,3,2,0.645
29,600,4,2,0,0.34600000000000003
29,600,4,2,1,0.505
29,600,5,1,0,0.501
30,400,4,3,0,0.367
30,400,4,3,1,0.502
30,400,4,3,2,0.643
30,400,5,2,0,0.369
30,400,5,2,1,0.657
30,600,4,1,0,0.488
30,600,5,1,0,0.488
31,400,4,1,0,0.47500000000000003
31,400,5,2,0,0.491
31,400,5,2,1,0.631
31,600,4,1,0,0.492
31,600,5,1,0,0.483
32,400,4,1,0,0.499
32,400,5,2,0,0.419
32,400,5,2,1,0.6940000000000001
32,600,4,2,0,0.374
32,600,4,2,1,0.51
32,600,5,2,0,0.41500000000000004
32,600,5,2,1,0.503
33,400,4,2,0,0.454
33,400,4,2,1,0.663
33,400,5,2,0,0.363
33,400,5,2,1,0.679
33,600,4,1,0,0.455
33,600,5,2,0,0.447
33,600,5,2,1,0.661
34,400,4,1,0,0.512
34,400,5,2,0,0.373
34,400,5,2,1,0.663
34,600,4,1,0,0.502
34,600,5,2,0,0.378
34,600,5,2,1,0.637
35,400,4,1,0,0.485
35,400,5,2,0,0.40900000000000003
35,400,5,2,1,0.602
35,600,4,1,0,0.501
35,600,5,1,0,0.494
36,400,4,2,0,0.462
36,400,4,2,1,0.664
36,400,5,2,0,0.47300000000000003
36,400,5,2,1,0.708
36,600,4,2,0,0.488
36,600,4,2,1,0.658
36,600,5,2,0,0.47200000000000003
36,600,5,2,1,0.655
37,400,4,2,0,0.444
37,400,4,2,1,0.707
37,400,5,3,0,0.36
37,400,5,3,1,0.501
37,400,5,3,2,0.7030000000000001
37,600,4,2,0,0.488
37,600,4,2,1,0.664
37,600,5,2,0,0.497
37,600,5,2,1,0.659
38,400,4,2,0,0.449
38,400,4,2,1,0.704
38,400,5,2,0,0.458
38,400,5,2,1,0.71
38,600,4,2,0,0.482
38,600,4,2,1,0.635
38,600,5,2,0,0.46
38,600,5,2,1,0.652
39,400,4,1,0,0.468
39,400,5,2,0,0.371
39,400,5,2,1,0.675
39,600,4,2,0,0.505
39,600,4,2,1,0.648
39,600,5,2,0,0.494
39,600,5,2,1,0.679
40,400,4,1,0,0.422
40,400,5,1,0,0.497
40,600,4,1,0,0.483
40,600,5,2,0,0.484
40,600,5,2,1,0.623
41,400,4,1,0,0.456
41,400,5,1,0,0.506
41,600,4,2,0,0.508
41,600,4,2,1,0.761
41,600,5,1,0,0.51
42,400,4,2,0,0.342
42,400,4,2,1,0.502
42,400,5,2,0,0.485
42,400,5,2,1,0.661
42,600,4,1,0,0.487
42,600,5,2,0,0.499
42,600,5,2,1,0.64
43,400,4,2,0,0.384
43,400,4,2,1,0.6960000000000001
43,400,5,2,0,0.391
43,400,5,2,1,0.716
43,600,4,2,0,0.425
43,600,4,2,1,0.6960000000000001
43,600,5,1,0,0.483
44,400,4,2,0,0.502
44,400,4,2,1,0.653
44,400,5,1,0,0.503
44,600,4,2,0,0.392
44,600,4,2,1,0.509
44,600,5,2,0,0.507
44,600,5,2,1,0.615
45,400,4,2,0,0.341
45,400,4,2,1,0.497
45,400,5,2,0,0.367
45,400,5,2,1,0.495
45,600,4,1,0,0.505
45,600,5,1,0,0.497
46,400,4,3,0,0.334
46,400,4,3,1,0.505
46,400,4,3,2,0.707
46,400,5,3,0,0.315
46,400,5,3,1,0.508
46,400,5,3,2,0.705
46,600,4,2,0,0.484
