"pp_id","stim_id","length","int_tempo","stim_onsets","resp_ITIs","pp_id_behav"
20,1,4,400,"[0.0, 412.23776223776224, 562.2377622377622, 1061.8881118881118]","[337.4999999999999, 670.909090909091]",20
20,35,4,400,"[0.0, 482.16783216783216, 775.5244755244755, 1397.5524475524476]","[562.5, 290.4545454545455]",20
20,76,4,400,"[0.0, 363.2867132867133, 527.2727272727273, 789.1608391608391]","[392.72727272727286, 437.7272727272725]",20
20,111,4,400,"[0.0, 496.1538461538462, 890.909090909091, 1068.881118881119]","[531.8181818181819, 413.181818181818]",20
21,48,4,600,"[0.0, 440.9090909090909, 1014.6853146853147, 1445.1048951048951]","[605.4545454545455, 345.68181818181824, 627.9545454545455, 343.6363636363635]",21
21,62,5,400,"[0.0, 506.0209424083769, 663.8743455497382, 978.7958115183246, 1168.0628272251308]","[605.4545454545455, 147.27272727272725, 396.81818181818176]",21
21,68,5,400,"[0.0, 364.6596858638743, 737.1727748691098, 1156.806282722513, 1385.3403141361257]","[517.5, 560.4545454545455, 135.0]",21
21,70,4,400,"[0.0, 223.42657342657344, 537.7622377622378, 698.2517482517483]","[658.6363636363635]",21
21,74,5,400,"[0.0, 495.5497382198953, 836.6492146596859, 997.1204188481676, 1275.392670157068]","[437.72727272727275, 425.45454545454527, 431.59090909090924]",21
21,92,5,400,"[0.0, 503.40314136125653, 873.2984293193717, 1306.0209424083769, 1479.5811518324606]","[591.1363636363636, 319.090909090909, 558.4090909090908]",21
21,123,4,400,"[0.0, 478.6713286713287, 1125.1748251748252, 1299.6503496503497]","[619.7727272727271, 454.09090909090924]",21
21,124,4,600,"[0.0, 825.5244755244755, 1465.7342657342658, 1945.1048951048951]","[670.909090909091, 392.72727272727275, 613.6363636363635, 427.5]",21
21,144,5,600,"[0.0, 742.6701570680627, 1268.0628272251308, 2099.738219895288, 2643.4554973821987]","[722.0454545454547, 337.5, 623.8636363636365, 478.6363636363635, 636.1363636363635]",21
21,146,4,400,"[0.0, 559.0909090909091, 894.4055944055945, 1089.86013986014]","[675.0, 615.681818181818]",21
21,153,5,600,"[0.0, 609.1623036649214, 961.7801047120417, 1657.329842931937, 2256.020942408377]","[570.6818181818181, 249.54545454545473, 607.5, 576.8181818181815, 337.5]",21
21,154,5,400,"[0.0, 445.81151832460733, 847.1204188481674, 1243.193717277487, 1408.9005235602094]","[413.18181818181813, 345.68181818181824, 425.4545454545455]",21
21,162,5,400,"[0.0, 589.7905759162304, 1200.523560209424, 1353.1413612565443, 1958.6387434554972]","[777.2727272727273, 693.409090909091, 807.9545454545455]",21
21,168,5,400,"[0.0, 325.3926701570681, 847.1204188481676, 1484.0314136125653, 1681.1518324607327]","[431.5909090909091, 497.0454545454545, 480.68181818181824]",21
21,172,4,400,"[0.0, 485.6643356643357, 1006.2937062937064, 1194.7552447552448]","[566.590909090909, 591.1363636363635]",21
22,2,5,600,"[0.0, 352.6178010471204, 718.3246073298429, 1186.1256544502617, 1779.5811518324606]","[343.63636363636374, 472.5, 449.9999999999998]",22
22,3,5,400,"[0.0, 341.0994764397906, 519.8952879581152, 792.931937172775, 984.8167539267017]","[200.4545454545455, 327.27272727272725, 231.13636363636374]",22
22,6,4,600,"[0.0, 496.8531468531469, 878.3216783216783, 1431.118881118881]","[474.54545454545473, 204.5454545454545]",22
22,9,5,400,"[0.0, 621.2041884816754, 1260.7329842931936, 1811.2565445026175, 2220.418848167539]","[515.4545454545454, 785.4545454545457, 689.3181818181815, 204.5454545454545, 419.318181818182]",22
22,11,5,400,"[0.0, 634.2931937172775, 823.5602094240838, 1452.6178010471203, 2034.5549738219895]","[814.090909090909, 472.5]",22
22,14,4,600,"[0.0, 451.3986013986014, 1217.4825174825176, 1591.958041958042]","[466.3636363636365, 638.181818181818, 198.40909090909076, 355.909090909091]",22
22,17,5,400,"[0.0, 218.0628272251309, 530.3664921465968, 860.9947643979057, 1168.0628272251308]","[255.68181818181824, 306.81818181818176, 251.59090909090924]",22
22,18,4,600,"[0.0, 710.1398601398602, 1514.6853146853146, 2252.7972027972028]","[734.3181818181818, 760.909090909091, 259.7727272727275, 421.36363636363603]",22
22,19,5,400,"[0.0, 249.4764397905759, 836.6492146596858, 1326.9633507853403, 1969.109947643979]","[214.77272727272725, 419.31818181818176, 443.86363636363626]",22
22,24,4,600,"[0.0, 843.0069930069931, 1640.5594405594406, 2375.1748251748254]","[715.9090909090908, 648.409090909091, 276.1363636363635, 544.090909090909]",22
22,35,5,400,"[0.0, 267.80104712041884, 417.80104712041884, 675.130890052356, 1018.848167539267]","[315.0, 1055.4545454545453]",22
