pp_id,age,gender,L1,handedness,musical_experience
11,21.0,M,danish,right,0
15,,,,,
17,,,,,
85,,,,,
106,,,,,
44,29.0,male,danish,right,0
90,,,,,
48,21.0,trans woman,romanian,right,0
904,28.0,M,Italian,right,0
118,,,,,
30,24.0,Female,French ,right,0
132,,,,,
111,,,,,
8,23.0,M,Danish,right,0
34,28.0,female,italian,right,0
907,23.0,Female,French,right,2
33,32.0,Male,Danish,right,0.5
19,,,,,
112,,,,,
75,,,,,
108,,,,,
99,,,,,
150,,,,,
127,,,,,
24,33.0,female,danish,right,0
29,24.0,female,Italian,right,0
145,,,,,
124,,,,,
126,,,,,
906,,,,,
22,25.0,Male,Romanian,right,0
105,,,,,
148,,,,,
66,28.0,m,greek,right,0
2,26.0,M,kurdish,right,0
901,25.0,M,IUtalian,right,0
5,23.0,F,danish,right,0
31,19.0,female,danish,left,2
101,,,,,
73,,,,,
140,,,,,
67,,,,,
36,19.0,female,german,left,0
1,22.0,F,Danish,right,1
12,23.0,F,danish,right,0
903,30.0,M,ita,right,3
122,,,,,
20,26.0,F,Danish,right,0
138,,,,,
52,21.0,male,Danish,right,0
128,,,,,
42,27.0,female,greek,right,0
79,,,,,
89,,,,,
38,23.0,Female,Hungarian,right,0
63,28.0,male,Chinese,right,0
41,30.0,Male,Portuguese,right,6
109,,,,,
32,34.0,Male,Danish,right,0
46,30.0,Female,Russian,right,0
35,22.0,male,catalan,right,0
86,,,,,
141,,,,,
147,,,,,
39,35.0,female,danish,left,0
13,,,,,
78,,,,,
83,,,,,
6,23.0,F,danish,right,0
81,,,,,
70,,,,,
71,,,,,
87,,,,,
103,,,,,
43,23.0,female,polish,right,0
65,23.0,Female,Slovak,right,"1,5"
107,,,,,
104,,,,,
84,,,,,
102,,,,,
55,24.0,male,Spanish,right,2
61,39.0,Female,Spanish,right,0
68,,,,,
117,,,,,
134,,,,,
54,28.0,female,"german, polish",right,6
37,40.0,F,Russian,right,0
53,25.0,Male,Russian,right,4
72,,,,,
27,33.0,Female,Spanish,right,0
74,,,,,
82,,,,,
139,,,,,
110,,,,,
10,24.0,M,Danish,right,1
93,,,,,
909,25.0,female,danish,right,0
100,,,,,
14,,,,,
136,,,,,
131,,,,,
80,,,,,
114,,,,,
135,,,,,
121,,,,,
59,19.0,Woman,Catalan,right,2
4,22.0,F,danish,right,0
56,29.0,female,Indonesian,right,0
120,,,,,
26,22.0,FEMALE,JAPANESE,right,5
60,25.0,Male,French,right,0
21,26.0,M,Italian,right,<1
113,,,,,
88,,,,,
45,34.0,female,Turkish,right,0
7,23.0,F,danish,right,0
58,34.0,female,hungarian,right,less than 1
94,,,,,
3,26.0,F,danish,right,0
40,21.0,Female,French,right,11
149,,,,,
129,,,,,
23,21.0,f,romanian,right,0
144,,,,,
69,,,,,
130,,,,,
142,,,,,
49,22.0,Male,French,left,0
47,28.0,Female,Spanish,right,0
133,,,,,
28,18.0,Male,Danish,right,0
910,,,,,
143,,,,,
97,,,,,
125,,,,,
905,22.0,female,french,right,0
62,19.0,Female,Slovak,right,12
146,,,,,
95,,,,,
9,21.0,M,Danish,right,0.5
98,,,,,
50,35.0,Male,Spanish,right,1
18,,,,,
119,,,,,
51,22.0,Male,Danish,right,0
123,,,,,
64,29.0,Female,Spanish,right,0
25,25.0,male,danish,right,1
902,22.0,female,french,right,0
76,,,,,
116,,,,,
16,,,,,
77,,,,,
115,,,,,
96,,,,,
91,,,,,
92,,,,,
137,,,,,
57,27.0,Female,Spanish,right,0
908,21.0,female,french,right,0
