pp_id,stim_id,length,int_tempo,stim_onsets,resp_ITIs
53,1,4,400,"[0.0, 650.0, 1254.5454545454545, 1852.097902097902]","[566.590909090909, 634.090909090909, 611.590909090909]"
53,2,4,600,"[0.0, 787.0629370629371, 1602.097902097902, 2357.6923076923076]","[726.1363636363635, 781.3636363636365, 775.2272727272725]"
53,3,5,400,"[0.0, 498.1675392670157, 661.2565445026178, 1093.9790575916231, 1626.1780104712043]","[497.0454545454544, 163.63636363636374, 531.818181818182, 531.8181818181815]"
53,4,4,600,"[0.0, 738.1118881118881, 1262.9370629370628, 1899.6503496503497]","[630.0, 466.3636363636365, 566.590909090909]"
53,5,4,400,"[0.0, 541.6083916083917, 1160.1398601398603, 1394.055944055944]","[550.2272727272727, 556.3636363636365, 255.68181818181802]"
53,6,4,600,"[0.0, 503.84615384615387, 958.7412587412588, 1626.9230769230771]","[474.5454545454545, 419.31818181818176, 531.818181818182]"
53,7,5,400,"[0.0, 218.0628272251309, 577.4869109947645, 1088.7434554973822, 1309.4240837696336]","[233.18181818181813, 431.590909090909, 402.9545454545457, 212.72727272727252]"
53,8,5,600,"[0.0, 706.0209424083769, 1270.6806282722512, 1704.4502617801045, 2454.9738219895285]","[613.6363636363635, 587.0454545454547, 472.4999999999998, 488.8636363636365]"
53,9,4,400,"[0.0, 174.47552447552448, 709.0909090909091, 1005.944055944056]","[169.77272727272725, 501.13636363636374, 337.4999999999998]"
53,10,5,600,"[0.0, 698.1675392670156, 1527.2251308900522, 2154.7120418848167, 2737.696335078534]","[599.3181818181818, 787.5, 507.2727272727275, 540.0]"
53,11,4,400,"[0.0, 338.8111888111888, 667.1328671328671, 929.020979020979]","[345.68181818181824, 339.5454545454545, 321.13636363636374]"
53,12,5,600,"[0.0, 501.83246073298426, 1323.0366492146595, 1992.4083769633505, 2394.764397905759]","[433.6363636363636, 691.3636363636363, 744.5454545454547, 400.909090909091]"
53,13,5,400,"[0.0, 560.9947643979058, 1074.8691099476441, 1340.0523560209426, 1861.780104712042]","[527.7272727272726, 615.6818181818182, 265.90909090909076, 529.7727272727275]"
53,14,4,600,"[0.0, 356.993006993007, 1014.6853146853148, 1693.3566433566434]","[362.0454545454545, 630.0000000000002, 587.0454545454545]"
53,15,4,400,"[0.0, 167.4825174825175, 492.3076923076923, 974.4755244755245]","[163.63636363636363, 341.59090909090924, 400.90909090909076]"
53,16,5,600,"[0.0, 352.6178010471204, 1134.5549738219895, 1775.1308900523559, 2337.17277486911]","[362.0454545454545, 636.1363636363637, 584.9999999999998, 644.318181818182]"
53,17,5,400,"[0.0, 508.6387434554974, 708.3769633507853, 1355.7591623036649, 1976.9633507853403]","[519.5454545454546, 192.27272727272725, 672.9545454545455, 525.681818181818]"
53,18,5,600,"[0.0, 431.151832460733, 1069.109947643979, 1479.3193717277486, 1873.8219895287957]","[474.5454545454546, 691.3636363636363, 382.5, 452.0454545454545]"
53,19,4,400,"[0.0, 594.0559440559441, 880.4195804195805, 1100.3496503496503]","[580.9090909090909, 253.63636363636374, 245.4545454545455]"
53,20,5,600,"[0.0, 692.9319371727748, 1215.7068062827225, 1584.0314136125653, 2041.3612565445023]","[566.5909090909091, 644.3181818181818, 362.0454545454545, 407.0454545454545]"
53,21,4,400,"[0.0, 247.90209790209792, 488.8111888111888, 974.4755244755245]","[218.86363636363626, 235.22727272727275, 503.18181818181824]"
53,22,5,600,"[0.0, 517.5392670157069, 896.3350785340315, 1429.5811518324608, 2187.9581151832463]","[527.7272727272727, 501.13636363636374, 347.7272727272725, 580.909090909091]"
53,23,4,400,"[0.0, 373.7762237762238, 936.3636363636364, 1443.006993006993]","[384.5454545454546, 605.4545454545455, 521.5909090909092]"
53,24,4,600,"[0.0, 832.5174825174826, 1332.867132867133, 1703.846153846154]","[746.590909090909, 521.5909090909092, 355.909090909091]"
53,25,4,400,"[0.0, 545.1048951048951, 744.0559440559441, 1292.6573426573427]","[537.9545454545455, 194.31818181818176, 568.6363636363635]"
53,26,5,600,"[0.0, 826.4397905759163, 1380.628272251309, 2178.2722513089006, 2653.926701570681]","[648.4090909090908, 705.6818181818182, 488.8636363636365, 552.272727272727]"
53,27,4,400,"[0.0, 625.5244755244755, 1118.1818181818182, 1687.7622377622379]","[644.3181818181819, 605.4545454545455, 480.681818181818]"
53,28,4,600,"[0.0, 654.1958041958042, 1151.048951048951, 1847.2027972027972]","[662.7272727272726, 587.0454545454545, 542.0454545454545]"
53,29,5,400,"[0.0, 650.0, 928.2722513089005, 1154.1884816753927, 1600.0]","[617.7272727272727, 231.13636363636374, 239.31818181818198, 495.0]"
53,30,4,600,"[0.0, 724.1258741258741, 1357.3426573426573, 2070.979020979021]","[699.5454545454546, 711.8181818181815, 636.136363636364]"
53,31,5,400,"[0.0, 356.80628272251306, 763.3507853403141, 955.2356020942409, 1309.4240837696336]","[372.27272727272725, 355.909090909091, 186.13636363636374, 368.181818181818]"
53,32,4,600,"[0.0, 790.5594405594406, 1507.6923076923078, 2238.811188811189]","[668.8636363636364, 722.0454545454543, 689.318181818182]"
53,33,5,400,"[0.0, 563.6125654450261, 1176.9633507853403, 1539.0052356020942, 1864.3979057591623]","[578.8636363636363, 591.1363636363637, 323.181818181818, 339.5454545454545]"
53,34,4,600,"[0.0, 398.95104895104896, 934.2657342657343, 1452.097902097902]","[347.7272727272725, 523.6363636363637, 535.909090909091]"
53,35,4,400,"[0.0, 258.39160839160843, 681.1188811188812, 1191.2587412587413]","[253.6363636363635, 421.3636363636365, 507.27272727272725]"
53,36,5,600,"[0.0, 614.3979057591623, 1027.2251308900522, 1489.7905759162302, 1926.178010471204]","[505.22727272727286, 499.090909090909, 402.95454545454527, 450.0]"
53,37,5,400,"[0.0, 252.09424083769633, 776.4397905759163, 960.4712041884817, 1296.3350785340315]","[208.63636363636374, 521.590909090909, 206.59090909090924, 368.181818181818]"
53,38,5,600,"[0.0, 740.0523560209424, 1184.2931937172775, 1657.3298429319373, 2266.4921465968587]","[670.9090909090909, 392.72727272727275, 497.04545454545473, 609.5454545454545]"
53,39,4,400,"[0.0, 170.979020979021, 450.34965034965035, 841.6083916083917]","[180.0, 360.0, 364.09090909090924]"
53,40,4,600,"[0.0, 577.2727272727273, 1385.3146853146854, 2137.4125874125875]","[513.4090909090908, 732.2727272727273, 578.8636363636365]"
53,41,5,400,"[0.0, 555.7591623036649, 1085.3403141361255, 1418.5863874345548, 2000.523560209424]","[539.9999999999999, 525.6818181818182, 337.5, 519.5454545454545]"
53,42,4,600,"[0.0, 598.2517482517483, 1154.5454545454545, 1857.6923076923076]","[544.0909090909091, 540.0, 556.3636363636363]"
53,43,4,400,"[0.0, 538.1118881118881, 1139.1608391608393, 1771.678321678322]","[535.9090909090908, 558.4090909090912, 552.272727272727]"
53,44,5,600,"[0.0, 496.59685863874347, 917.2774869109948, 1455.7591623036649, 2248.167539267016]","[556.3636363636364, 556.3636363636365, 546.1363636363635, 570.681818181818]"
53,45,5,400,"[0.0, 388.21989528795814, 823.5602094240837, 1426.439790575916, 1856.5445026178008]","[368.18181818181824, 1055.4545454545453, 445.909090909091]"
53,46,4,600,"[0.0, 549.3006993006993, 1018.1818181818182, 1700.3496503496503]","[533.8636363636363, 454.09090909090924, 533.8636363636365]"
53,47,5,400,"[0.0, 411.78010471204186, 619.371727748691, 936.9109947643979, 1440.3141361256544]","[476.59090909090924, 198.40909090909076, 341.59090909090924, 578.8636363636365]"
53,48,4,600,"[0.0, 514.3356643356643, 909.7902097902097, 1343.7062937062938]","[507.2727272727275, 517.4999999999998, 435.68181818181847]"
53,49,5,600,"[0.0, 404.9738219895288, 1244.502617801047, 2086.6492146596856, 2735.0785340314133]","[423.4090909090909, 675.0, 650.4545454545457, 550.2272727272725]"
53,50,4,400,"[0.0, 457.69230769230774, 660.1398601398602, 970.979020979021]","[474.5454545454545, 196.3636363636365, 339.54545454545473]"
53,51,5,600,"[0.0, 760.9947643979058, 1207.8534031413612, 1673.0366492146595, 2172.2513089005233]","[662.7272727272727, 437.72727272727275, 497.0454545454543, 480.68181818181847]"
53,52,5,400,"[0.0, 259.9476439790576, 650.7853403141362, 1227.4869109947645, 1516.2303664921467]","[261.81818181818176, 382.5, 464.318181818182, 249.5454545454545]"
53,53,5,600,"[0.0, 795.0261780104712, 1516.7539267015707, 1906.0209424083769, 2502.0942408376964]","[630.0, 668.8636363636363, 308.8636363636365, 556.3636363636365]"
53,54,4,400,"[0.0, 345.80419580419584, 904.895104895105, 1551.3986013986014]","[333.40909090909076, 531.818181818182, 544.090909090909]"
53,55,4,600,"[0.0, 780.06993006993, 1318.8811188811187, 1882.1678321678319]","[636.1363636363636, 550.2272727272727, 531.818181818182]"
53,56,5,400,"[0.0, 644.7643979057591, 841.8848167539267, 1141.0994764397906, 1398.4293193717276]","[560.4545454545455, 227.0454545454545, 325.22727272727275, 296.590909090909]"
