pp_id,stim_tempo_intended,length,sequence_id,interval_ratio_i,interval_ratio
1,400,4,1_104,1,0.4386873920552676
1,400,4,1_104,2,0.7793764988009593
1,400,4,1_106,1,0.32618025751072877
1,400,4,1_106,2,0.38292682926829297
1,400,4,1_110,1,0.7797029702970294
1,400,4,1_110,2,0.3503937007874022
1,400,4,1_114,1,0.3305555555555558
1,400,4,1_114,2,0.4800796812749003
1,400,4,1_12,1,0.3708609271523176
1,400,4,1_12,2,0.6462585034013605
1,400,4,1_128,1,0.44786729857819907
1,400,4,1_128,2,0.4632206759443341
1,400,4,1_130,1,0.4406130268199232
1,400,4,1_130,2,0.7584415584415581
1,400,4,1_134,1,0.7445652173913044
1,400,4,1_134,2,0.34057971014492733
1,400,4,1_136,1,0.4898419864559818
1,400,4,1_136,2,0.6402266288951842
1,400,4,1_140,1,0.5043227665706047
1,400,4,1_140,2,0.6666666666666666
1,400,4,1_142,1,0.493827160493827
1,400,4,1_142,2,0.5907780979827094
1,400,4,1_144,1,0.33827160493827185
1,400,4,1_144,2,0.49355432780847136
1,400,4,1_145,1,0.3245614035087721
1,400,4,1_145,2,0.5124792013311147
1,400,4,1_147,1,0.7085889570552145
1,400,4,1_147,2,0.4077253218884125
1,400,4,1_153,1,0.7717647058823529
1,400,4,1_153,2,0.4075630252100841
1,400,4,1_159,1,0.7006237006237004
1,400,4,1_159,2,0.30188679245283045
1,400,4,1_161,1,0.4866310160427804
1,400,4,1_161,2,0.49357326478149144
1,400,4,1_163,1,0.5065963060686017
1,400,4,1_163,2,0.5054054054054054
1,400,4,1_175,1,0.7781350482315108
1,400,4,1_175,2,0.31363636363636443
1,400,4,1_179,1,0.3888888888888892
1,400,4,1_179,2,0.4567474048442904
1,400,4,1_181,1,0.50191570881226
1,400,4,1_181,2,0.3903903903903903
1,400,4,1_185,1,0.36069651741293535
1,400,4,1_185,2,0.5039215686274509
1,400,4,1_189,1,0.6078947368421055
1,400,4,1_189,2,0.4542682926829264
1,400,4,1_191,1,0.41827768014059746
1,400,4,1_191,2,0.7995169082125607
1,400,4,1_2,1,0.35078534031413633
1,400,4,1_2,2,0.7251461988304093
1,400,4,1_20,1,0.35516372795969764
1,400,4,1_20,2,0.5120000000000002
1,400,4,1_22,1,0.7749419953596287
1,400,4,1_22,2,0.3476702508960576
1,400,4,1_30,1,0.4728033472803349
1,400,4,1_30,2,0.3490304709141277
1,400,4,1_32,1,0.7340909090909089
1,400,4,1_32,2,0.35779816513761514
1,400,4,1_46,1,0.38630806845965754
1,400,4,1_46,2,0.504016064257028
1,400,4,1_48,1,0.26562499999999967
1,400,4,1_48,2,0.4986737400530508
1,400,4,1_55,1,0.4043795620437955
1,400,4,1_55,2,0.6834170854271359
1,400,4,1_63,1,0.7596899224806198
1,400,4,1_63,2,0.26420454545454586
1,400,4,1_65,1,0.31506849315068536
1,400,4,1_65,2,0.3112033195020748
1,400,4,1_67,1,0.3927648578811371
1,400,4,1_67,2,0.49369747899159677
1,400,4,1_69,1,0.3091922005571036
1,400,4,1_69,2,0.7315634218289081
1,400,4,1_73,1,0.41814946619217086
1,400,4,1_73,2,0.5978062157221206
1,400,4,1_77,1,0.3574766355140183
1,400,4,1_77,2,0.5055147058823528
1,400,4,1_81,1,0.4972375690607733
1,400,4,1_81,2,0.4814814814814817
1,400,4,1_83,1,0.7238605898123325
1,400,4,1_83,2,0.32907348242811457
1,400,4,1_85,1,0.41021416803953886
1,400,4,1_85,2,0.7351129363449693
1,400,4,1_91,1,0.4810426540284364
1,400,4,1_91,2,0.5488721804511276
1,400,4,1_93,1,0.31506849315068475
1,400,4,1_93,2,0.505050505050505
1,400,4,1_98,1,0.4734848484848481
1,400,4,1_98,2,0.4455128205128209
1,400,5,1_10,1,0.7523510971786835
1,400,5,1_10,2,0.3708920187793427
1,400,5,1_10,3,0.47349823321554785
1,400,5,1_100,1,0.3892045454545458
1,400,5,1_100,2,0.7413793103448274
1,400,5,1_100,3,0.3537735849056603
1,400,5,1_108,1,0.7261904761904764
1,400,5,1_108,2,0.3579766536964978
1,400,5,1_108,3,0.33604887983706716
1,400,5,1_112,1,0.3147410358565735
1,400,5,1_112,2,0.46739130434782616
1,400,5,1_112,3,0.46226415094339646
1,400,5,1_116,1,0.4129032258064516
1,400,5,1_116,2,0.6107382550335569
1,400,5,1_116,3,0.50989010989011
1,400,5,1_118,1,0.43133802816901434
1,400,5,1_118,2,0.7340909090909089
1,400,5,1_118,3,0.3268156424581009
1,400,5,1_120,1,0.41206896551724115
1,400,5,1_120,2,0.7301927194860812
1,400,5,1_120,3,0.33245382585752
1,400,5,1_122,1,0.3774038461538466
1,400,5,1_122,2,0.4905303030303028
1,400,5,1_122,3,0.6708229426433916
1,400,5,1_124,1,0.435562805872757
1,400,5,1_124,2,0.5894378194207839
1,400,5,1_124,3,0.5502283105022832
1,400,5,1_126,1,0.6527415143603128
1,400,5,1_126,2,0.3623978201634879
1,400,5,1_126,3,0.5075921908893711
1,400,5,1_14,1,0.6257309941520466
1,400,5,1_14,2,0.5175202156334231
1,400,5,1_14,3,0.5085227272727278
1,400,5,1_149,1,0.31272727272727285
1,400,5,1_149,2,0.49218750000000017
1,400,5,1_149,3,0.43046357615894004
1,400,5,1_151,1,0.7897897897897899
1,400,5,1_151,2,0.32558139534883695
1,400,5,1_151,3,0.24451939291736932
1,400,5,1_157,1,0.3347826086956525
1,400,5,1_157,2,0.5049504950495044
1,400,5,1_157,3,0.48076923076923117
1,400,5,1_165,1,0.5000000000000009
1,400,5,1_165,2,0.44374999999999964
1,400,5,1_165,3,0.3345864661654135
1,400,5,1_169,1,0.6359649122807014
1,400,5,1_169,2,0.5045592705167177
1,400,5,1_169,3,0.4244791666666665
1,400,5,1_171,1,0.3494897959183676
1,400,5,1_171,2,0.5182926829268294
1,400,5,1_171,3,0.29514321295143253
1,400,5,1_173,1,0.5805243445692885
1,400,5,1_173,2,0.5463414634146343
1,400,5,1_173,3,0.5210084033613444
