pp_id,age,gender,L1,handedness,musical_experience
11,21.0,M,danish,right,0.0
15,,,,,
17,,,,,
85,,,,,
106,,,,,
44,,,,,
90,,,,,
48,,,,,
904,28.0,M,Italian,right,0.0
118,,,,,
30,,,,,
132,,,,,
111,,,,,
8,23.0,M,Danish,right,0.0
34,,,,,
907,,,,,
33,,,,,
19,,,,,
112,,,,,
75,,,,,
108,,,,,
99,,,,,
150,,,,,
127,,,,,
24,,,,,
29,,,,,
145,,,,,
124,,,,,
126,,,,,
906,,,,,
22,,,,,
105,,,,,
148,,,,,
66,,,,,
2,26.0,M,kurdish,right,0.0
901,38.0,M,Italian,right,10.0
5,23.0,F,danish,right,0.0
31,,,,,
101,,,,,
73,,,,,
140,,,,,
67,,,,,
36,,,,,
1,22.0,F,Danish,right,1.0
12,23.0,F,danish,right,0.0
903,30.0,M,ita,right,3.0
122,,,,,
20,,,,,
138,,,,,
52,,,,,
128,,,,,
42,,,,,
79,,,,,
89,,,,,
38,,,,,
63,,,,,
41,,,,,
109,,,,,
32,,,,,
46,,,,,
35,,,,,
86,,,,,
141,,,,,
147,,,,,
39,,,,,
13,,,,,
78,,,,,
83,,,,,
6,23.0,F,danish,right,0.0
81,,,,,
70,,,,,
71,,,,,
87,,,,,
103,,,,,
43,,,,,
65,,,,,
107,,,,,
104,,,,,
84,,,,,
102,,,,,
55,,,,,
61,,,,,
68,,,,,
117,,,,,
134,,,,,
54,,,,,
37,,,,,
53,,,,,
72,,,,,
27,,,,,
74,,,,,
82,,,,,
139,,,,,
110,,,,,
10,24.0,M,Danish,right,1.0
93,,,,,
909,,,,,
100,,,,,
14,,,,,
136,,,,,
131,,,,,
80,,,,,
114,,,,,
135,,,,,
121,,,,,
59,,,,,
4,22.0,F,danish,right,0.0
56,,,,,
120,,,,,
26,,,,,
60,,,,,
21,,,,,
113,,,,,
88,,,,,
45,,,,,
7,23.0,F,danish,right,0.0
58,,,,,
94,,,,,
3,26.0,F,danish,right,0.0
40,,,,,
149,,,,,
129,,,,,
23,,,,,
144,,,,,
69,,,,,
130,,,,,
142,,,,,
49,,,,,
47,,,,,
133,,,,,
28,,,,,
910,,,,,
143,,,,,
97,,,,,
125,,,,,
905,,,,,
62,,,,,
146,,,,,
95,,,,,
9,21.0,M,Danish,right,0.5
98,,,,,
50,,,,,
18,,,,,
119,,,,,
51,,,,,
123,,,,,
64,,,,,
25,,,,,
902,38.0,M,Italianj,right,10.0
76,,,,,
116,,,,,
16,,,,,
77,,,,,
115,,,,,
96,,,,,
91,,,,,
92,,,,,
137,,,,,
57,,,,,
908,9999.0,999,999,right,9999.0
