pp_id,stim_id,length,int_tempo,stim_onsets,resp_ITIs
2,1,4,400,"[0.0, 583.5664335664336, 772.027972027972, 1292.6573426573427]",[566.5909090909095]
2,2,5,600,"[0.0, 533.2460732984293, 1378.0104712041884, 1780.3664921465968, 2520.418848167539]","[654.5454545454545, 795.6818181818182, 566.590909090909, 533.8636363636365]"
2,3,4,400,"[0.0, 545.1048951048951, 999.3006993006993, 1254.1958041958042]","[601.3636363636365, 695.4545454545455, 227.0454545454545]"
2,4,4,600,"[0.0, 444.4055944055944, 906.2937062937062, 1438.111888111888]","[715.909090909091, 648.409090909091, 566.590909090909]"
2,5,4,400,"[0.0, 163.98601398601397, 362.93706293706293, 589.8601398601398]",[]
2,6,5,600,"[0.0, 444.24083769633506, 1103.1413612565445, 1916.4921465968587, 2714.1361256544506]","[640.2272727272727, 754.772727272727, 840.6818181818185, 562.5]"
2,7,5,400,"[0.0, 304.4502617801047, 755.4973821989529, 1054.7120418848167, 1471.7277486910994]","[241.36363636363626, 660.6818181818182, 247.5, 695.4545454545455]"
2,8,4,600,"[0.0, 738.1118881118881, 1116.083916083916, 1941.6083916083915]","[885.6818181818185, 323.181818181818, 675.0]"
2,9,4,400,"[0.0, 629.020979020979, 1191.6083916083917, 1561.888111888112]","[861.1363636363637, 785.4545454545455, 276.1363636363635]"
2,10,5,600,"[0.0, 582.9842931937172, 964.3979057591623, 1521.2041884816754, 2308.3769633507854]","[697.5, 533.8636363636363, 822.2727272727275, 818.181818181818]"
2,11,5,400,"[0.0, 184.03141361256544, 446.59685863874347, 868.848167539267, 1359.1623036649214]","[222.9545454545455, 182.0454545454545, 603.409090909091, 730.2272727272725]"
2,12,5,600,"[0.0, 399.73821989528795, 995.8115183246073, 1612.82722513089, 2384.293193717277]","[351.81818181818187, 863.181818181818, 587.0454545454545, 744.5454545454545]"
2,13,4,400,"[0.0, 394.7552447552448, 960.839160839161, 1484.965034965035]","[566.590909090909, 867.2727272727275]"
2,14,5,600,"[0.0, 724.3455497382199, 1129.3193717277486, 1835.3403141361255, 2253.4031413612565]","[650.4545454545455, 405.0, 863.181818181818, 431.59090909090946]"
2,15,4,400,"[0.0, 195.45454545454544, 513.2867132867133, 1145.8041958041958]","[237.27272727272725, 184.090909090909, 599.3181818181818, 750.6818181818185]"
2,16,4,600,"[0.0, 503.84615384615387, 1332.8671328671328, 1875.1748251748252]","[593.1818181818182, 932.7272727272727, 544.090909090909]"
2,17,5,400,"[0.0, 595.0261780104712, 881.151832460733, 1337.4345549738218, 1785.8638743455494]","[580.909090909091, 229.090909090909, 578.8636363636363, 668.8636363636365, 280.227272727273]"
2,18,5,600,"[0.0, 742.6701570680627, 1561.2565445026178, 1934.8167539267015, 2782.198952879581]","[738.4090909090908, 1180.227272727273, 658.6363636363635, 296.590909090909, 595.227272727273]"
2,19,5,400,"[0.0, 364.6596858638743, 572.2513089005236, 777.2251308900524, 1178.5340314136124]","[535.9090909090908, 177.9545454545455, 206.59090909090946, 552.272727272727]"
2,20,5,600,"[0.0, 564.6596858638743, 1194.764397905759, 1987.1727748691098, 2452.356020942408]","[748.6363636363637, 720.0, 732.2727272727275, 713.863636363636]"
