Behavioral Variable,Condition,Metric Type,Base Metric,P-Value,Coefficient,Standard Error,T-Statistic,"Confidence intervals 
(lower, upper)",F-Statistic,Adjusted R-Squared
G (response),400_4,fd,T_PREM,0.7518,0.08,0.25,0.32,"-0.43,0.59",2.37,0.06
G (response),400_4,fd,T_PREC,0.3217,0.29,0.29,1,"-0.30,0.89",2.87,0.08
G (response),400_4,fd,ST_PREM,0.3715,0.24,0.26,0.9,"-0.29,0.76",2.77,0.07
G (response),400_4,fd,ST_PREC,0.1423,0.5,0.33,1.5,"-0.17,1.17",3.56,0.1
G (response),400_4,fd,CP,0.2068,-0.48,0.38,-1.28,"-1.25,0.28",3.23,0.09
G (response),400_4,log_fc,T_PREM,0.83,0.03,0.12,0.22,"-0.22,0.27",2.59,0.1
G (response),400_4,log_fc,T_PREC,0.78,0.03,0.09,0.28,"-0.16,0.21",2.6,0.1
G (response),400_4,log_fc,ST_PREM,0.84,0.02,0.11,0.21,"-0.20,0.24",2.59,0.1
G (response),400_4,log_fc,ST_PREC,0.73,0.03,0.09,0.34,"-0.16,0.22",2.62,0.1
G (response),400_4,log_fc,CP,0.8,0.02,0.09,0.26,"-0.15,0.20",2.6,0.1
G (response),400_4,fdc,T_PREM,0.49,0.12,0.17,0.69,"-0.23,0.46",2.76,0.11
G (response),400_4,fdc,T_PREC,0.45,0.11,0.15,0.75,"-0.19,0.42",2.79,0.11
G (response),400_4,fdc,ST_PREM,0.36,0.15,0.16,0.93,"-0.18,0.48",2.91,0.12
G (response),400_4,fdc,ST_PREC,0.37,0.15,0.16,0.9,"-0.18,0.48",2.89,0.11
G (response),400_4,fdc,CP,0.8,-0.04,0.17,-0.26,"-0.38,0.30",2.6,0.1
Entropy differences,400_4,fd,T_PREM,0.0878,-1.07,0.61,-1.75,"-2.30,0.16",1.82,0.04
Entropy differences,400_4,fd,T_PREC,0.0018,-2.21,0.66,-3.33,"-3.54,-0.87",5.9,0.18
Entropy differences,400_4,fd,ST_PREM,0.0606,-1.22,0.63,-1.93,"-2.50,0.06",2.16,0.05
Entropy differences,400_4,fd,ST_PREC,0.0011,-2.63,0.75,-3.49,"-4.14,-1.11",6.45,0.2
Entropy differences,400_4,fd,CP,0.3986,-0.81,0.95,-0.85,"-2.74,1.11",0.64,-0.02
Entropy differences,400_4,log_fc,T_PREM,0.73,-0.1,0.3,-0.34,"-0.72,0.51",1.46,0.03
Entropy differences,400_4,log_fc,T_PREC,0.79,0.06,0.22,0.26,"-0.39,0.51",1.44,0.03
Entropy differences,400_4,log_fc,ST_PREM,0.48,-0.19,0.27,-0.71,"-0.73,0.35",1.6,0.04
Entropy differences,400_4,log_fc,ST_PREC,1,0,0.23,0,"-0.47,0.47",1.42,0.03
Entropy differences,400_4,log_fc,CP,0.09,0.36,0.21,1.74,"-0.06,0.78",2.53,0.09
Entropy differences,400_4,fdc,T_PREM,0.21,-0.53,0.42,-1.28,"-1.38,0.31",2.02,0.07
Entropy differences,400_4,fdc,T_PREC,0.12,-0.58,0.37,-1.58,"-1.32,0.16",2.33,0.08
Entropy differences,400_4,fdc,ST_PREM,0.15,-0.58,0.4,-1.47,"-1.38,0.22",2.22,0.08
Entropy differences,400_4,fdc,ST_PREC,0.12,-0.63,0.4,-1.58,"-1.44,0.18",2.34,0.08
Entropy differences,400_4,fdc,CP,0.52,0.27,0.42,0.64,"-0.57,1.11",1.57,0.04
Binary or ternary introduced,400_4,fd,T_PREM,0.1328,-17.8,11.61,-1.53,"-41.24,5.63",2.46,0.06
Binary or ternary introduced,400_4,fd,T_PREC,0.2441,-16.35,13.84,-1.18,"-44.28,11.58",1.95,0.04
Binary or ternary introduced,400_4,fd,ST_PREM,0.0652,-22.7,11.99,-1.89,"-46.89,1.49",3.11,0.09
Binary or ternary introduced,400_4,fd,ST_PREC,0.0686,-28.98,15.5,-1.87,"-60.27,2.31",3.06,0.09
Binary or ternary introduced,400_4,fd,CP,0.5946,-9.72,18.13,-0.54,"-46.31,26.86",1.37,0.02
Binary or ternary introduced,400_4,log_fc,T_PREM,0.08,-10.27,5.77,-1.78,"-21.91,1.38",1.96,0.06
Binary or ternary introduced,400_4,log_fc,T_PREC,0.34,-4.16,4.35,-0.96,"-12.94,4.62",1.16,0.01
Binary or ternary introduced,400_4,log_fc,ST_PREM,0.09,-9,5.14,-1.75,"-19.39,1.39",1.92,0.06
Binary or ternary introduced,400_4,log_fc,ST_PREC,0.33,-4.41,4.48,-0.98,"-13.46,4.65",1.18,0.01
Binary or ternary introduced,400_4,log_fc,CP,0.47,-3.09,4.21,-0.73,"-11.59,5.41",1.03,0
Binary or ternary introduced,400_4,fdc,T_PREM,0.02,-18.82,7.85,-2.4,"-34.66,-2.97",2.87,0.11
Binary or ternary introduced,400_4,fdc,T_PREC,0.19,-9.72,7.27,-1.34,"-24.39,4.96",1.47,0.03
Binary or ternary introduced,400_4,fdc,ST_PREM,0.01,-19.55,7.39,-2.64,"-34.49,-4.62",3.31,0.14
Binary or ternary introduced,400_4,fdc,ST_PREC,0.09,-13.51,7.84,-1.72,"-29.35,2.33",1.89,0.06
Binary or ternary introduced,400_4,fdc,CP,0.36,-7.52,8.17,-0.92,"-24.02,8.98",1.14,0.01
Isochrony introduced,400_4,fd,T_PREM,0.0412,23.99,11.39,2.11,"1.01,46.98",2.22,0.05
Isochrony introduced,400_4,fd,T_PREC,0.0025,40.73,12.64,3.22,"15.21,66.25",5.19,0.16
Isochrony introduced,400_4,fd,ST_PREM,0.0238,27.64,11.79,2.34,"3.85,51.42",2.75,0.07
Isochrony introduced,400_4,fd,ST_PREC,0.0028,46.2,14.54,3.18,"16.86,75.54",5.05,0.16
Isochrony introduced,400_4,fd,CP,0.3983,15.44,18.1,0.85,"-21.08,51.97",0.37,-0.03
Isochrony introduced,400_4,log_fc,T_PREM,0.48,4.15,5.85,0.71,"-7.66,15.97",0.79,-0.01
Isochrony introduced,400_4,log_fc,T_PREC,0.76,1.35,4.32,0.31,"-7.36,10.07",0.65,-0.02
Isochrony introduced,400_4,log_fc,ST_PREM,0.11,8.28,5.08,1.63,"-1.99,18.54",1.54,0.04
Isochrony introduced,400_4,log_fc,ST_PREC,0.51,2.95,4.43,0.67,"-6.00,11.91",0.77,-0.02
Isochrony introduced,400_4,log_fc,CP,0.05,-7.92,3.98,-1.99,"-15.95,0.11",2,0.06
Isochrony introduced,400_4,fdc,T_PREM,0.09,13.66,7.96,1.72,"-2.41,29.73",1.64,0.04
