Behavioral Variable,Condition,Metric Type,Base Metric,P-Value,Coefficient,Standard Error,T-Statistic,Confidence Interval,F-Statistic,Adjusted R-Squared
G_resp,600_5,fd,T_PREM,0.8269798289948888,0.07597389336297686,0.3454227947727044,0.21994464323922025,"[-0.6211175265275246, 0.7730653132534784]",0.10320759205115917,-0.04249554974224057
G_resp,600_5,fd,T_PREC,0.4676164749097619,0.29679946165209936,0.4048982043447074,0.7330224201227158,"[-0.5203181937229426, 1.1139171170271414]",0.34859955957127564,-0.030512560723763293
G_resp,600_5,fd,ST_PREM,0.8475714207527842,0.06992853949378859,0.361558866562204,0.1934084486951942,"[-0.6597267915381272, 0.7995838705257045]",0.09770256977466765,-0.04276756804402004
G_resp,600_5,fd,ST_PREC,0.42902152839737473,0.3703989922915243,0.46381674330699063,0.7985890928615419,"[-0.565621088182932, 1.3064190727659806]",0.3989996151504323,-0.02808544304211602
G_resp,600_5,fd,CP,0.5660474174080956,0.3035458986771702,0.5247546018602227,0.5784530475790373,"[-0.7554517588037815, 1.3625435561581218]",0.2468616375936239,-0.0354470403795446
G_resp,600_5,log_fc,T_PREM,0.7798831122214979,0.048780311804856355,0.1734005274569499,0.28131582135450556,"[-0.30140915657069445, 0.3989697801804072]",0.08592851834987389,-0.06646538121372236
G_resp,600_5,log_fc,T_PREC,0.06041526902690616,0.23558746425622545,0.12200182829556881,1.9310158507254285,"[-0.010800225667483065, 0.481975154179934]",1.3077803672698374,0.020553705026457147
G_resp,600_5,log_fc,ST_PREM,0.8339013763819295,-0.03262529781680058,0.1545928276952702,-0.21104017762784452,"[-0.3448318460853479, 0.27958125045174675]",0.07434481578282973,-0.06736441384969738
G_resp,600_5,log_fc,ST_PREC,0.10551454552377437,0.21073217210265063,0.1273131916342352,1.6552265275704832,"[-0.0463820336580916, 0.4678463778633929]",0.9766641753951936,-0.0015936145168404803
G_resp,600_5,log_fc,CP,0.4288149187771061,0.09740302639079297,0.12188487592718622,0.7991395622290443,"[-0.14874847343413206, 0.343554526215718]",0.27323470708734704,-0.05213561225626773
G_resp,600_5,fdc,T_PREM,0.7917818681243687,0.06450814399831326,0.2427618505143487,0.26572603504890663,"[-0.42575935760770567, 0.5547756456043321]",0.08307340042335197,-0.06668683154027844
G_resp,600_5,fdc,T_PREC,0.06377695718283313,0.3931451022211609,0.20634798933583848,1.905252886090902,"[-0.023583115078070205, 0.809873319520392]",1.2746925444620725,0.018384709220930384
G_resp,600_5,fdc,ST_PREM,0.9485722427569394,-0.015055971675791528,0.2320017269219435,-0.0648959465756782,"[-0.4835929629094294, 0.4534810195578463]",0.06084420030792604,-0.06841413631304993
G_resp,600_5,fdc,ST_PREC,0.0876566378585224,0.3975954288230068,0.22723964455807522,1.7496745763541013,"[-0.061324342002938514, 0.8565151996489522]",1.08432577393548,0.005716616985266154
G_resp,600_5,fdc,CP,0.2843239160421994,0.2560159619823976,0.2359909584883065,1.0848549606407203,"[-0.22057744581432392, 0.7326093697791192]",0.45344376415925836,-0.038707645986078454
entropy_diff_norm_q_avg,600_5,fd,T_PREM,0.5914237664651547,-0.46417817647962334,0.8581353153293034,-0.5409148979045317,"[-2.195965349977293, 1.2676089970180464]",0.19248271885279125,-0.03810394902098202
entropy_diff_norm_q_avg,600_5,fd,T_PREC,0.0714060965369848,-1.8057500516308638,0.9762556516184923,-1.8496692425157164,"[-3.775913713848556, 0.16441361058682835]",1.7602432867086386,0.03340224782011003
entropy_diff_norm_q_avg,600_5,fd,ST_PREM,0.30980755264093507,-0.9150715640232059,0.8900981450675733,-1.028056927310793,"[-2.71136233920307, 0.8812192111566581]",0.575473493007435,-0.019676347178668285
entropy_diff_norm_q_avg,600_5,fd,ST_PREC,0.06937277812207432,-2.0854099284951224,1.1189951595261498,-1.863645173745176,"[-4.343633579073731, 0.172813722083486]",1.7862484775462364,0.03450539382650075
entropy_diff_norm_q_avg,600_5,fd,CP,0.7363974861575073,-0.44420102237188275,1.3108373211580646,-0.3388681533567045,"[-3.0895778280711683, 2.201175783327403]",0.10340993721427708,-0.04248555401488252
entropy_diff_norm_q_avg,600_5,log_fc,T_PREM,0.3463593657752493,0.4071112918789183,0.42735429096736927,0.9526318103823682,"[-0.45594820486354865, 1.2701707886213853]",0.36639001467939336,-0.045151245356462866
entropy_diff_norm_q_avg,600_5,log_fc,T_PREC,0.2638611721371174,0.35384946670609,0.31235492200050263,1.1328442159317746,"[-0.27696409357560664, 0.9846630269877867]",0.49223917869048,-0.03586158611797119
entropy_diff_norm_q_avg,600_5,log_fc,ST_PREM,0.3534014586584793,0.3575939726663414,0.3809613906590815,0.9386619784427147,"[-0.41177316146556386, 1.1269611067982468]",0.35754271726083264,-0.04581058832988183
entropy_diff_norm_q_avg,600_5,log_fc,ST_PREC,0.2873611148158416,0.3479521670743986,0.3227930635197955,1.0779418965211445,"[-0.3039416475933606, 0.9998459817421578]",0.45159504518277066,-0.038843659793964314
entropy_diff_norm_q_avg,600_5,log_fc,CP,0.13994028320290872,0.4480140177986224,0.29764563669434485,1.5051926269582518,"[-0.15309353825637695, 1.0491215738536217]",0.82115957953123,-0.012344185899917592
entropy_diff_norm_q_avg,600_5,fdc,T_PREM,0.9674176672979304,0.02485611542501301,0.6048087279907558,0.04109748136007872,"[-1.1965798861267056, 1.2462921169767318]",0.06306964960920543,-0.06824095735036906
entropy_diff_norm_q_avg,600_5,fdc,T_PREC,0.6668344266620085,-0.23185400460349853,0.5346887231767425,-0.4336242650228078,"[-1.3116797840386396, 0.8479717748316427]",0.12546739127428896,-0.06340807050248998
entropy_diff_norm_q_avg,600_5,fdc,ST_PREM,0.8711015070281996,-0.0942700453011652,0.5773581166958263,-0.16327828876930844,"[-1.2602684128564021, 1.0717283222540719]",0.07143131619879868,-0.06759077457151186
entropy_diff_norm_q_avg,600_5,fdc,ST_PREC,0.7278559870181196,-0.2051491438211049,0.5855241936466088,-0.3503683469396006,"[-1.3876392382934837, 0.9773409506512739]",0.10361054319146287,-0.06509596307667742
entropy_diff_norm_q_avg,600_5,fdc,CP,0.5970157446732633,0.3163865019722335,0.5937657653549586,0.5328473287494013,"[-0.8827477841727603, 1.5155207881172275]",0.15757900832439842,-0.0609379355287063
binary_or_ternary_introduced,600_5,fd,T_PREM,0.11039659117984638,-20.837978819320316,12.777269955814994,-1.630863157104766,"[-46.62355345600365, 4.94759581736302]",2.3329796502600955,0.057128565242855145
