Behavioral Variable,Condition,Metric Type,Base Metric,P-Value,Coefficient,Standard Error,T-Statistic,Confidence Interval,F-Statistic,Adjusted R-Squared
entropy_diff_norm_q_avg,composite,fd,T_PREM,0.31692280397411365,-0.675527464175463,0.6669450520140447,-1.0128682447459518,"[-2.021477070430302, 0.670422142079376]",0.5800660538048268,-0.01945934480219691
entropy_diff_norm_q_avg,composite,fd,T_PREC,0.015573556475305103,-1.870076770765106,0.7417034337064711,-2.521326834662044,"[-3.366894899245748, -0.37325864228446415]",3.2539755000379214,0.09293220816663217
entropy_diff_norm_q_avg,composite,fd,ST_PREM,0.23217158818095857,-0.8418695151844923,0.6944375376737626,-1.2123041591394952,"[-2.243301203714206, 0.5595621733452217]",0.8026479403925862,-0.009051747299088087
entropy_diff_norm_q_avg,composite,fd,ST_PREC,0.018236130995353865,-2.0967468514491534,0.8534776822964087,-2.456709642140312,"[-3.819134545855429, -0.3743591570428779]",3.0926403695470217,0.08685807522334121
entropy_diff_norm_q_avg,composite,fd,CP,0.5635835487045423,-0.5966122982892788,1.024858109682838,-0.5821413644020556,"[-2.664859697425312, 1.4716351008467543]",0.2354876423201704,-0.03600163888660779
entropy_diff_norm_q_avg,composite,log_fc,T_PREM,0.5908424215774757,0.18152908862654507,0.335006168199735,0.5418678993346626,"[-0.4950295934033946, 0.8580877706564847]",0.3796450500225013,-0.0441649710251284
entropy_diff_norm_q_avg,composite,log_fc,T_PREC,0.4669879986092942,0.18005119017856713,0.24522502171812013,0.7342284605260688,"[-0.31519078815855267, 0.6752931685156869]",0.46314358233277314,-0.037994594987943664
entropy_diff_norm_q_avg,composite,log_fc,ST_PREM,0.772531539493378,0.08709184100862485,0.2993024888254094,0.2909826822704027,"[-0.5173617977293614, 0.6915454797466112]",0.30856929169737546,-0.04947542283812467
entropy_diff_norm_q_avg,composite,log_fc,ST_PREC,0.5483490518645193,0.1534813922965313,0.25358374196442124,0.6052493393605073,"[-0.3586413640384514, 0.6656041486315141]",0.40437648096168394,-0.04232973439063814
entropy_diff_norm_q_avg,composite,log_fc,CP,0.07560473931768694,0.4171536337044881,0.22883133048918589,1.8229742964510796,"[-0.04498061353903354, 0.8792878809480098]",1.4101894371237134,0.02720656311235803
entropy_diff_norm_q_avg,composite,fdc,T_PREM,0.7322989042885908,-0.16185822085108084,0.4699590014302489,-0.3444092364620955,"[-1.1109596786671856, 0.787243236965024]",0.32011653158710723,-0.04860899456122092
entropy_diff_norm_q_avg,composite,fdc,T_PREC,0.33370497626055806,-0.4032546955826265,0.4122352422329257,-0.9782149953952144,"[-1.235780656731845, 0.4292712655665919]",0.6052656233886686,-0.027658089219382287
entropy_diff_norm_q_avg,composite,fdc,ST_PREM,0.6264546560685453,-0.21975584079183888,0.44810177128945317,-0.49041502371095674,"[-1.1247157268382406, 0.6852040452545628]",0.3615779798530819,-0.045509758079768314
entropy_diff_norm_q_avg,composite,fdc,ST_PREC,0.39049328653083004,-0.3924439451901542,0.45216921742155236,-0.8679138916798111,"[-1.3056182053453935, 0.520730314965085]",0.5359994472971623,-0.03266996132836231
entropy_diff_norm_q_avg,composite,fdc,CP,0.47870416481411004,0.3294175509316512,0.46076948314214666,0.7149291847308091,"[-0.6011252982030109, 1.2599604000663132]",0.4536301774289115,-0.038693933180275586
binary_or_ternary_introduced,composite,fd,T_PREM,0.11981238131232241,-0.6942921765159059,0.4372424513863836,-1.587888308453316,"[-1.5766831673542496, 0.1880988143224378]",1.8774596692431198,0.03835476848956232
binary_or_ternary_introduced,composite,fd,T_PREC,0.044146777085061754,-1.0488625284686255,0.5054690486605216,-2.0750281965791597,"[-2.0689403669114697, -0.028784690025781323]",2.7943550856818584,0.07541095689378863
binary_or_ternary_introduced,composite,fd,ST_PREM,0.25040729450085075,-0.5404319788128572,0.46370510831867356,-1.1654647945811596,"[-1.476226773414217, 0.3953628157885025]",1.2798066934291317,0.012558757680408927
binary_or_ternary_introduced,composite,fd,ST_PREC,0.08584850630237606,-1.0333515143278782,0.5874400471724334,-1.7590757036429197,"[-2.2188535250293695, 0.1521504963736131]",2.171876014204846,0.05057320406368737
binary_or_ternary_introduced,composite,fd,CP,0.08163323601765476,-1.1803657815772037,0.6616030660504986,-1.7840996243011806,"[-2.515534823702297, 0.15480326054788973]",2.2174363680149187,0.05243629609736311
binary_or_ternary_introduced,composite,log_fc,T_PREM,0.6680733711236655,-0.09621308936517,0.22276443625664905,-0.4319050696868057,"[-0.5460949951427491, 0.35366881641240905]",0.8075727725570403,-0.013294462085621017
binary_or_ternary_introduced,composite,log_fc,T_PREC,0.9302143910495864,-0.014442371685898153,0.1639039686291917,-0.0881148382597853,"[-0.34545315155048884, 0.3165684081786925]",0.7447446727749685,-0.017712028420592052
binary_or_ternary_introduced,composite,log_fc,ST_PREM,0.8615000702465402,-0.03491900538550052,0.19889522526058143,-0.17556482484560196,"[-0.43659606162441117, 0.3667580508534101]",0.7528482505511447,-0.017140087642875113
binary_or_ternary_introduced,composite,log_fc,ST_PREC,0.9680937007238324,-0.006807347788067461,0.16915062866212852,-0.040244294933510776,"[-0.3484139725471513, 0.33479927697101636]",0.7425852605546276,-0.0178645456922768
binary_or_ternary_introduced,composite,log_fc,CP,0.3941942881244218,-0.13484258766110066,0.15659450294904845,-0.8610940047172329,"[-0.4510916021126069, 0.18140642679040556]",1.002596365497729,0.0001769935880239215
binary_or_ternary_introduced,composite,fdc,T_PREM,0.1508793412514419,-0.4459959903903189,0.3046877817701901,-1.4637803583693096,"[-1.0613254488681187, 0.16933346808748095]",1.4950113597338035,0.0326488505343443
