Label,X,Y,Z
L_Banks_superior_temporal_sulcus,-47.41953825,-45.37611992,7.55306685
L_caudal_anterior_cingulate_cortex,-7.463033779,20.3220204,25.13256851
L_caudal_middle_frontal_gyrus,-32.52185678,10.6225236,42.33869149
L_cuneus_cortex,-6.865980547,-81.32142049,23.04908392
L_entorhinal_cortex,-16.84485869,-11.90619363,-32.45082038
L_fusiform_gyrus,-33.25251966,-52.68279987,-25.25866652
L_inferior_parietal_cortex,-40.92134929,-66.2630191,31.43324543
L_inferior_temporal_gyrus,-48.77222802,-36.16450881,-24.13576118
L_isthmus-cingulate_cortex,-8.360666299,-47.69685257,18.35394809
L_lateral_occipital_cortex,-25.9511126,-88.96376023,-1.332551582
L_lateral_orbitofrontal_cortex,-22.35479607,34.15805436,-13.50071931
L_lingual_gyrus,-11.00685312,-69.35220021,-15.20415071
L_medial_orbitofrontal_cortex,-6.256024338,35.47434153,-17.04891522
L_middle_temporal_gyrus,-57.0041353,-28.38804651,-12.20669424
L_parahippocampal_gyrus,-15.16011036,-32.91661514,-18.72458736
L_paracentral_lobule,-8.794218257,-27.59668657,56.20444027
L_pars_opercularis,-44.99365596,17.38670559,14.13075455
L_pars_orbitalis,-39.94600592,43.40002465,-10.9045858
L_pars_triangularis,-41.76686468,34.40157865,2.748962487
L_pericalcarine_cortex,-10.48473453,-82.22213269,5.087653326
L_postcentral_gyrus,-42.19274759,-24.71783684,46.4562343
L_posterior-cingulate_cortex,-9.62755892,-17.14243936,35.94856356
L_precentral_gyrus,-37.70823276,-10.37385351,43.00379602
L_precuneus_cortex,-11.19374644,-60.39084752,36.13716058
L_rostral_anterior_cingulate_cortex,-7.644892054,38.01391053,1.592365903
L_rostral_middle_frontal_gyrus,-30.91472021,43.44256701,17.24056588
L_superior_frontal_gyrus,-12.04492738,28.42336874,41.78396651
L_superior_parietal_cortex,-23.51554254,-60.83729153,48.33101119
L_superior_temporal_gyrus,-51.09283279,-15.03336987,-3.054865424
L_supramarginal_gyrus,-49.99648561,-35.25833882,32.27198845
L_frontal_pole,-9.202643172,67.09427313,-6.398678414
L_temporal_pole,-28.12271409,12.52944886,-35.98940598
L_transverse_temporal_cortex,-43.23657069,-21.69832402,6.40352385
L_Insula_insular_gyrus+central_sulcus,-38.97648903,-8.377742947,0.051724138
R_Banks_superior_temporal_sulcus,48.47431807,-38.40748126,5.600893284
R_caudal_anterior_cingulate_cortex,6.1573474,21.34513941,27.93956292
R_caudal_middle_frontal_gyrus,34.25968978,12.40500841,42.31078303
R_cuneus_cortex,10.0032255,-79.9205009,25.96973722
R_entorhinal_cortex,16.01734627,-7.522936534,-31.45322262
R_fusiform_gyrus,34.58842128,-52.88893215,-24.38036571
R_inferior_parietal_cortex,45.3843122,-58.35735487,31.09566444
R_inferior_temporal_gyrus,51.5209249,-29.64261418,-26.42472769
R_isthmus-cingulate_cortex,10.68247442,-42.90544029,20.24438283
R_lateral_occipital_cortex,30.6909763,-87.08806053,3.257548539
R_lateral_orbitofrontal_cortex,23.87751241,32.56380547,-13.07176638
R_lingual_gyrus,12.57361714,-65.93790906,-12.71975094
R_medial_orbitofrontal_cortex,7.036171359,35.95089586,-14.93944497
R_middle_temporal_gyrus,58.10766673,-26.23240347,-11.8086828
R_parahippocampal_gyrus,16.85903555,-29.10366156,-18.18338361
R_paracentral_lobule,10.70860046,-27.18616185,54.4188944
R_pars_opercularis,46.89477651,15.55860406,14.81744177
R_pars_orbitalis,42.22410103,44.96318493,-9.912243151
R_pars_triangularis,45.39480884,30.2978629,6.691044886
R_pericalcarine_cortex,15.30390413,-78.0901601,7.308304466
R_postcentral_gyrus,44.30645803,-20.35005574,44.80207836
R_posterior-cingulate_cortex,9.559021588,-12.86155674,38.73469994
R_precentral_gyrus,37.12976948,-8.996377607,44.33565313
R_precuneus_cortex,13.30808558,-57.68452627,36.85359655
R_rostral_anterior_cingulate_cortex,8.531674208,35.60196078,2.559426848
R_rostral_middle_frontal_gyrus,32.11526903,44.80910445,18.09752528
R_superior_frontal_gyrus,13.03997285,31.18506441,40.13789084
R_superior_parietal_cortex,26.32970215,-58.29414976,50.16962145
R_superior_temporal_gyrus,53.5839204,-8.645287303,-4.904343761
R_supramarginal_gyrus,50.091373,-29.89076656,32.7252154
R_frontal_pole,8.131535679,64.81058862,-11.93160145
R_temporal_pole,27.77236208,13.60765935,-34.90707017
R_transverse_temporal_cortex,45.25614568,-18.42124431,7.483459788
R_Insula_insular_gyrus+central_sulcus,38.97648903,8.377742947,0.051724138
